Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;7.821836e-006;1.580691e+002;148.049662;0.599944;73.787361;5.791499
1;150;9.801581e-006;2.138518e+002;203.955362;0.564537;91.286054;6.074008
2;200;1.167620e-005;2.691623e+002;257.218600;0.600652;112.575383;6.008593
3;250;1.335792e-005;3.208663e+002;310.076224;0.637472;129.041614;5.782284
4;300;1.494136e-005;3.734707e+002;361.404032;0.615879;145.938978;8.586692
5;350;1.661311e-005;4.244669e+002;412.012977;0.628031;164.601184;5.970895
6;400;1.811784e-005;4.763739e+002;464.135493;0.615514;180.795101;7.053823
7;450;1.966836e-005;5.292944e+002;516.245656;0.664031;199.298867;7.898260
8;500;2.123995e-005;5.855765e+002;571.917929;0.635158;216.897755;6.614749
9;550;2.288023e-005;6.426935e+002;629.083717;0.649050;235.678699;6.371552
10;600;2.439678e-005;7.020276e+002;688.263787;0.665681;255.735502;6.042639
11;650;2.587507e-005;7.629185e+002;749.755187;0.706935;277.184994;6.119091
12;700;2.740538e-005;8.285634e+002;813.949833;0.656180;296.670300;6.029032
13;750;2.907723e-005;8.949713e+002;881.008057;0.620869;318.201786;6.651118
14;800;3.060406e-005;9.628480e+002;949.388152;0.662992;338.823682;5.759272
15;850;3.235632e-005;1.026332e+003;1013.255103;0.696903;358.650506;6.939120
16;900;3.413621e-005;1.093474e+003;1077.436066;0.690038;379.734626;6.677881
