Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;6.189166e-006;1.831631e+002;183.532279;0.592015;73.025631;5.442445
1;150;7.723717e-006;2.586748e+002;258.926040;0.615303;91.696492;6.592909
2;200;9.061266e-006;3.340522e+002;334.039029;0.671725;111.272719;5.843807
3;250;1.029680e-005;4.127079e+002;412.514020;0.740216;132.418277;4.525845
4;300;1.133317e-005;5.007628e+002;500.457833;0.656539;157.217918;4.585067
5;350;1.227055e-005;6.012970e+002;601.507600;0.605766;184.490792;4.712509
6;400;1.292120e-005;6.972380e+002;697.300307;0.607296;211.801242;4.649645
7;450;1.354375e-005;7.648394e+002;765.058467;0.657971;230.828649;5.374490
8;500;1.420306e-005;8.138256e+002;814.958008;0.752501;245.959362;5.116160
9;550;1.481250e-005;8.545602e+002;854.663282;0.635435;257.868612;5.612964
10;600;1.548241e-005;8.914455e+002;891.409852;0.798613;269.686249;5.579233
11;650;1.620396e-005;9.204960e+002;920.370048;0.819179;277.329637;4.771986
12;700;1.690354e-005;9.460319e+002;946.606496;0.660968;284.761775;5.275515
13;750;1.771935e-005;9.723379e+002;971.802068;0.645941;294.360816;5.027114
14;800;1.859446e-005;9.999786e+002;1000.058848;0.700195;300.033890;5.334070
15;850;1.957824e-005;1.032489e+003;1031.943855;0.739735;308.420092;4.932741
16;900;2.069808e-005;1.064487e+003;1064.822356;0.753590;315.314615;5.161105
