Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;6.017008e-006;1.575700e+002;195.137136;1.076396;102.211354;9.583794
1;150;7.749268e-006;2.301244e+002;268.465888;1.122629;119.097641;9.857742
2;200;9.386997e-006;2.945648e+002;332.425685;1.051067;135.567869;9.564298
3;250;1.080800e-005;3.625081e+002;402.463658;1.092065;158.726979;9.281468
4;300;1.232185e-005;4.289232e+002;468.227849;1.235764;182.418463;12.624511
5;350;1.404624e-005;5.020685e+002;543.746347;1.239170;199.995764;10.979726
6;400;1.538131e-005;5.673086e+002;606.928417;1.194733;218.055309;10.223898
7;450;1.703641e-005;6.413271e+002;680.564623;1.368080;244.756011;9.930681
8;500;1.854113e-005;7.131208e+002;755.165265;1.519901;264.216753;10.409317
9;550;2.047659e-005;7.909110e+002;832.259599;1.372196;286.603100;10.845911
10;600;2.253142e-005;8.711859e+002;912.662847;1.245695;311.075536;13.607342
11;650;2.409199e-005;9.542831e+002;996.000086;1.452803;337.559476;12.675465
12;700;2.625075e-005;1.041248e+003;1086.123009;1.495884;357.776877;12.078627
13;750;2.868826e-005;1.130804e+003;1174.165819;1.428027;389.092065;11.649566
14;800;3.075981e-005;1.218531e+003;1261.998365;1.336714;413.612466;17.155586
15;850;3.322437e-005;1.305732e+003;1348.509180;1.407641;441.622975;10.912057
16;900;3.926151e-005;1.376832e+003;1419.350092;1.570984;464.216069;13.352650
