Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;2.874194e-006;1.261527e+002;134.289519;0.369400;66.899415;4.199526
1;150;3.581054e-006;1.730195e+002;181.429935;0.359283;83.171415;4.455312
2;200;4.238817e-006;2.178179e+002;226.828280;0.354460;100.517565;4.196480
3;250;4.884870e-006;2.648857e+002;273.806191;0.374288;118.183362;4.117238
4;300;5.518575e-006;3.125835e+002;320.232430;0.387327;136.838133;4.505336
5;350;6.156703e-006;3.621246e+002;369.308599;0.416065;155.370860;4.423588
6;400;6.773480e-006;4.086675e+002;416.053698;0.387575;171.414271;4.332467
7;450;7.437809e-006;4.557383e+002;462.971016;0.390854;190.384317;4.114323
8;500;8.110469e-006;5.077922e+002;514.964111;0.382256;210.143590;3.864597
9;550;8.756317e-006;5.604020e+002;567.948786;0.380611;227.182703;4.077422
10;600;9.529599e-006;6.134722e+002;621.249862;0.371611;247.972529;4.476575
11;650;1.028083e-005;6.662233e+002;673.485323;0.406859;268.109771;3.518128
12;700;1.106011e-005;7.189665e+002;726.258229;0.376713;287.945682;3.680302
13;750;1.192027e-005;7.786323e+002;786.054868;0.411208;309.405804;5.103670
14;800;1.282021e-005;8.415036e+002;848.742577;0.391184;330.955825;3.585635
15;850;1.373274e-005;9.006863e+002;908.769478;0.398920;351.951236;3.793958
16;900;1.490839e-005;9.629720e+002;970.677594;0.473549;372.776111;3.708457
