Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;1.216911e-005;1.198577e+002;119.518907;0.609101;24.768832;7.494488
1;150;1.523141e-005;1.636562e+002;163.399103;0.571974;67.375263;8.698950
2;200;1.788283e-005;2.098779e+002;209.833383;0.552894;75.263434;6.144082
3;250;2.053950e-005;2.533704e+002;253.439260;0.514770;88.072386;5.521823
4;300;2.319626e-005;2.965919e+002;296.796056;0.666747;100.192824;5.904709
5;350;2.593266e-005;3.423539e+002;342.398411;0.524333;110.366932;5.992054
6;400;2.838881e-005;3.932970e+002;393.290526;0.511780;123.316678;7.516790
7;450;3.088202e-005;4.515265e+002;451.702193;0.465321;141.491553;7.636397
8;500;3.357189e-005;5.117394e+002;511.834449;0.542183;156.566551;6.625876
9;550;3.626476e-005;5.662226e+002;566.437103;0.600503;173.162375;7.602768
10;600;3.894496e-005;6.205651e+002;620.679813;0.638212;185.126875;5.951981
11;650;4.168268e-005;6.740247e+002;674.204833;0.626716;201.181629;5.432566
12;700;4.461305e-005;7.198442e+002;719.895451;0.659722;213.848992;4.464860
13;750;4.803045e-005;7.615651e+002;761.542468;0.630749;224.934113;7.290721
14;800;5.225392e-005;8.056348e+002;805.341356;0.677336;237.583316;9.500269
15;850;5.704860e-005;8.544990e+002;854.867791;0.734479;250.106928;5.834377
16;900;6.249469e-005;9.021020e+002;902.342253;0.659897;265.117553;5.663526
