Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;9.128873e-006;1.896964e+002;189.442540;1.400009;76.673709;11.686425
1;150;1.169428e-005;2.679218e+002;267.344365;1.349619;93.854476;10.483146
2;200;1.401960e-005;3.369820e+002;336.650764;1.601399;108.608961;9.049081
3;250;1.613446e-005;4.234886e+002;424.798633;1.302315;130.971703;11.868998
4;300;1.818766e-005;5.136307e+002;514.071263;1.466721;154.333064;9.983429
5;350;1.981907e-005;6.067599e+002;606.695962;1.356898;180.318818;10.893350
6;400;2.126796e-005;6.920583e+002;693.474666;1.793055;204.190759;9.537309
7;450;2.269328e-005;7.547059e+002;756.875325;1.336427;223.575780;11.661770
8;500;2.406365e-005;8.110338e+002;811.091256;1.870322;236.276179;11.351957
9;550;2.550217e-005;8.587484e+002;859.214526;1.661204;250.168397;12.226764
10;600;2.689430e-005;8.685342e+002;867.230474;1.466807;260.488082;9.335324
11;650;2.816687e-005;8.882976e+002;888.586486;1.750320;274.634767;9.209886
12;700;2.987779e-005;9.362240e+002;936.172105;1.575468;283.884363;13.071935
13;750;3.153629e-005;9.582302e+002;959.423163;1.546272;290.621777;11.262520
14;800;3.327315e-005;9.884733e+002;989.960211;1.791748;296.063752;9.714457
15;850;3.541652e-005;1.024668e+003;1025.974387;1.553829;302.656722;7.972357
16;900;3.762516e-005;1.048037e+003;1046.502972;1.579373;311.472364;8.976438
