Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;9.831090e-006;1.434381e+002;143.315046;0.413520;54.102491;1.724027
1;150;1.232832e-005;1.930567e+002;192.949443;0.468590;70.616497;2.339565
2;200;1.456543e-005;2.394128e+002;239.283717;0.400186;87.927098;2.096725
3;250;1.665311e-005;2.845861e+002;284.321968;0.398696;103.877109;2.058968
4;300;1.858858e-005;3.279295e+002;327.987937;0.393589;120.159988;2.237256
5;350;2.060975e-005;3.703730e+002;369.504478;0.489939;135.504167;1.772224
6;400;2.240892e-005;4.134370e+002;413.480958;0.470438;151.416914;2.257873
7;450;2.422601e-005;4.558611e+002;455.783649;0.416880;166.310204;1.574551
8;500;2.588648e-005;4.993445e+002;499.364150;0.423928;181.717323;1.876955
9;550;2.769384e-005;5.441208e+002;544.300565;0.451043;196.597315;1.748436
10;600;2.964332e-005;5.907404e+002;590.354711;0.429778;212.406768;1.856617
11;650;3.150669e-005;6.405740e+002;640.644888;0.460689;228.644944;1.788380
12;700;3.339085e-005;6.907941e+002;690.846850;0.476201;244.698742;1.676647
13;750;3.520094e-005;7.442157e+002;744.086270;0.480374;261.605795;2.091532
14;800;3.711113e-005;7.994626e+002;799.385004;0.481804;279.186875;1.726045
15;850;3.904512e-005;8.517297e+002;851.794111;0.522426;296.052120;2.130806
16;900;4.072221e-005;8.996863e+002;899.205962;0.616909;311.856537;2.043278
