Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;1.888999e-005;1.424083e+002;146.601068;0.476425;53.382598;1.715212
1;150;2.436597e-005;1.924056e+002;197.295385;0.450511;62.008811;1.788651
2;200;2.897814e-005;2.386185e+002;243.602594;0.481316;75.767691;1.735654
3;250;3.310332e-005;2.832980e+002;289.064512;0.423059;88.677561;1.532589
4;300;3.733178e-005;3.243378e+002;329.846818;0.520091;100.561093;1.682910
5;350;4.131481e-005;3.704320e+002;376.592071;0.512811;111.342145;1.893799
6;400;4.593518e-005;4.098848e+002;416.459265;0.470005;121.283229;1.868487
7;450;5.091382e-005;4.558924e+002;462.577607;0.488014;133.943490;1.869104
8;500;5.524182e-005;5.003374e+002;507.558330;0.507867;146.561247;1.639319
9;550;6.033595e-005;5.599774e+002;567.736809;0.513215;162.630965;2.214330
10;600;6.458386e-005;6.107018e+002;618.817794;0.558947;177.426693;1.937119
11;650;7.142132e-005;6.551766e+002;663.349907;0.520784;189.862542;1.947071
12;700;7.666784e-005;7.074471e+002;716.170856;0.546697;203.447950;1.921167
13;750;8.468515e-005;7.568566e+002;765.737196;0.527584;217.364674;2.075323
14;800;9.265408e-005;8.009645e+002;810.179524;0.545581;230.143864;1.825666
15;850;1.022004e-004;8.428359e+002;852.154424;0.565622;241.861806;1.688566
16;900;1.110141e-004;8.875605e+002;897.611695;0.491639;254.445146;1.843894
