Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;2.882283e-006;2.584500e+002;261.034840;0.457547;76.597640;1.819649
1;150;3.605657e-006;3.501287e+002;352.892874;0.481380;107.840549;1.787176
2;200;4.261920e-006;4.408741e+002;444.422919;0.474095;139.625014;1.787131
3;250;4.892579e-006;5.333080e+002;537.712964;0.443502;171.360440;1.678259
4;300;5.511358e-006;6.196938e+002;624.561200;0.540121;202.139427;1.853423
5;350;6.124788e-006;7.036965e+002;708.392130;0.558029;231.233106;1.790917
6;400;6.718245e-006;7.977378e+002;803.034853;0.528131;262.002763;1.930583
7;450;7.244696e-006;8.829427e+002;888.766751;0.517984;292.101009;1.793336
8;500;7.736109e-006;9.791869e+002;985.826974;0.563177;321.338983;1.926283
9;550;8.305264e-006;1.068499e+003;1074.976685;0.613470;350.756591;1.645266
10;600;8.796102e-006;1.173133e+003;1180.347393;0.645768;382.829411;1.753724
11;650;9.140891e-006;1.264381e+003;1271.544677;0.588659;411.533570;1.755929
12;700;9.729844e-006;1.372007e+003;1379.461238;0.639582;441.695539;1.530804
13;750;1.034387e-005;1.467809e+003;1475.902599;0.728376;471.459348;1.890517
14;800;1.085340e-005;1.570969e+003;1579.132541;0.781802;498.912640;1.742749
15;850;1.130556e-005;1.683587e+003;1692.245201;0.736367;532.390117;1.738924
16;900;2.968754e-005;1.777685e+003;1786.357737;0.778590;557.925631;1.763507
