Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;4.392715e-006;2.313918e+002;234.858150;0.445571;77.328187;1.780781
1;150;5.511112e-006;3.080417e+002;312.120097;0.470997;103.871410;2.020165
2;200;6.717656e-006;3.851389e+002;389.404610;0.519065;130.462716;1.969774
3;250;7.602879e-006;4.554205e+002;460.508545;0.517571;153.659265;2.003900
4;300;8.602252e-006;5.280633e+002;533.112969;0.492740;179.242550;1.980256
5;350;9.560376e-006;5.944166e+002;599.963410;0.572224;203.448514;1.904043
6;400;1.050829e-005;6.664672e+002;673.081384;0.403093;228.445239;2.092598
7;450;1.134496e-005;7.387903e+002;745.411302;0.510530;252.634468;1.883174
8;500;1.243221e-005;8.239216e+002;830.873550;0.400413;281.766594;1.863772
9;550;1.338602e-005;8.983868e+002;905.753827;0.526079;308.143179;1.990546
10;600;1.434638e-005;9.695073e+002;977.199270;0.476923;330.916993;1.950175
11;650;1.525174e-005;1.047904e+003;1056.537279;0.596156;355.581434;1.916367
12;700;1.642593e-005;1.134885e+003;1143.149536;0.574529;383.300671;1.996178
13;750;1.781970e-005;1.206092e+003;1215.037715;0.667270;406.071157;1.888668
14;800;1.893912e-005;1.285104e+003;1294.131101;0.514353;428.729262;1.678021
15;850;2.052512e-005;1.373827e+003;1383.305094;0.603132;452.790760;1.979841
16;900;2.198971e-005;1.470558e+003;1481.074022;0.551763;481.540483;1.834346
