Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;3.974662e-006;1.960776e+002;199.978578;3.041978;108.004280;11.255996
1;150;5.042349e-006;2.676511e+002;272.289891;3.091035;129.560131;11.496723
2;200;6.017576e-006;3.410260e+002;350.446635;2.448991;153.635338;9.609620
3;250;6.969768e-006;3.909601e+002;407.483159;2.741742;185.339252;11.474838
4;300;7.879186e-006;4.540963e+002;469.681578;2.474173;204.897727;8.681206
5;350;8.770868e-006;5.171333e+002;532.591789;1.966436;224.450147;10.399750
6;400;9.642162e-006;5.961136e+002;604.726773;1.748252;248.890638;12.629094
7;450;1.055022e-005;6.586325e+002;668.154023;1.952967;265.822751;13.065500
8;500;1.145530e-005;7.214787e+002;731.190857;1.963653;285.020181;8.077082
9;550;1.235733e-005;7.851147e+002;796.603281;1.776776;308.023397;10.053193
10;600;1.325349e-005;8.439288e+002;857.717755;2.555110;332.839155;11.300984
11;650;1.426277e-005;9.053289e+002;921.783361;2.812057;357.142059;10.384677
12;700;1.536970e-005;9.853257e+002;999.962146;2.714806;377.371861;9.729811
13;750;1.649202e-005;1.068711e+003;1076.007055;2.915491;398.040012;11.692636
14;800;1.780416e-005;1.137085e+003;1155.591879;3.233080;421.510654;9.050663
15;850;1.928979e-005;1.212319e+003;1226.905389;3.061447;442.448193;10.443678
16;900;2.072810e-005;1.293354e+003;1308.478763;2.573366;465.487603;8.435307
