Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;3.789717e-006;2.461419e+002;248.153974;0.431888;76.464370;1.963841
1;150;4.779766e-006;3.307911e+002;333.446307;0.425613;105.391574;1.478439
2;200;5.635676e-006;4.129617e+002;415.813010;0.527583;133.417799;1.829806
3;250;6.446646e-006;4.976019e+002;500.194601;0.496205;162.588435;1.649323
4;300;7.252911e-006;5.783512e+002;582.065774;0.474425;191.044281;1.674949
5;350;7.975939e-006;6.578929e+002;661.979281;0.458323;218.875393;1.728638
6;400;8.684215e-006;7.439224e+002;748.910879;0.486949;252.373093;1.830636
7;450;9.421524e-006;8.300807e+002;835.542943;0.479572;281.524327;1.945693
8;500;1.015643e-005;9.226281e+002;928.614604;0.539727;311.521602;1.684889
9;550;1.091760e-005;1.008406e+003;1014.561760;0.581569;340.500376;2.072078
10;600;1.162506e-005;1.080248e+003;1086.246376;0.549007;362.244437;1.763160
11;650;1.233563e-005;1.161967e+003;1168.245339;0.533521;388.403496;1.737757
12;700;1.309451e-005;1.258289e+003;1265.318397;0.653455;416.981972;2.426162
13;750;1.374357e-005;1.366860e+003;1374.376479;0.594522;447.702032;1.930648
14;800;1.440931e-005;1.469749e+003;1478.044008;0.709509;478.564244;1.895387
15;850;1.519974e-005;1.557045e+003;1565.170368;0.690220;503.334604;1.727503
16;900;1.596534e-005;1.640083e+003;1648.840675;0.663374;524.264818;1.959653
