Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;1.134313e-006;1.223264e+002;126.128366;1.115431;72.770598;16.664660
1;150;1.410563e-006;1.683972e+002;174.491712;0.986906;90.066879;15.775366
2;200;1.658474e-006;2.140430e+002;217.020183;0.950923;105.325571;18.192917
3;250;1.912952e-006;2.628485e+002;266.196867;1.054671;119.062441;19.445842
4;300;2.167658e-006;3.103305e+002;314.578539;0.919566;134.374222;13.653910
5;350;2.407298e-006;3.543461e+002;361.330444;1.038077;158.001034;21.363542
6;400;2.652073e-006;3.999482e+002;404.915274;0.959995;165.930654;19.351784
7;450;2.896854e-006;4.534272e+002;458.368179;0.872432;183.693994;17.438920
8;500;3.169848e-006;5.040135e+002;510.310143;1.045891;208.682922;16.299970
9;550;3.472226e-006;5.558314e+002;560.393238;0.911118;222.445473;16.124418
10;600;3.825197e-006;6.130330e+002;616.304746;0.939184;245.666745;21.127505
11;650;4.214899e-006;6.596025e+002;665.255637;1.197399;259.517737;24.495975
12;700;4.660053e-006;7.166303e+002;723.004837;1.044204;280.214821;21.497340
13;750;5.246400e-006;7.595358e+002;770.443307;1.157648;299.133465;18.189016
14;800;5.961260e-006;8.151950e+002;828.767504;1.027390;315.650269;19.204496
15;850;6.809957e-006;8.867598e+002;899.747664;0.980068;334.785587;16.883893
16;900;7.825665e-006;9.687867e+002;979.721366;1.247254;355.107673;16.382779
