Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;3.353229e-006;1.870771e+002;204.914819;2.354921;108.795305;13.001614
1;150;4.282492e-006;2.749890e+002;290.074583;2.818090;133.331812;12.021384
2;200;5.107906e-006;3.690821e+002;384.151677;2.610696;159.017767;12.080400
3;250;5.933293e-006;4.509975e+002;469.696949;2.380548;189.129866;13.571884
4;300;6.638575e-006;5.475542e+002;570.332540;2.811487;220.857400;12.365298
5;350;7.437970e-006;6.392847e+002;660.122236;2.472502;253.954433;18.155719
6;400;8.127678e-006;7.286113e+002;745.165746;2.943702;286.254951;16.250743
7;450;8.724366e-006;8.084050e+002;829.543158;2.889851;310.868330;15.485065
8;500;9.600829e-006;8.827272e+002;894.520671;2.718242;333.228005;16.079919
9;550;1.041484e-005;9.639089e+002;979.404680;2.288994;357.269141;11.202681
10;600;1.112787e-005;1.093932e+003;1108.064436;2.364590;391.769512;14.355730
11;650;1.214200e-005;1.207595e+003;1225.295898;2.797468;422.385063;13.739167
12;700;1.464611e-005;1.331245e+003;1347.639969;3.271749;460.994822;13.909922
13;750;3.593634e-005;1.473609e+003;1486.217727;3.581448;501.479875;16.024165
14;800;2.503780e-005;1.594738e+003;1621.205870;3.639986;533.879269;12.282684
15;850;2.301210e-005;1.726075e+003;1741.617556;3.775370;567.420503;12.122100
16;900;4.627520e-005;1.835800e+003;1858.725488;3.535757;598.809627;11.732350
