Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;5.419808e-006;2.169804e+002;219.319375;0.574666;98.553205;6.947579
1;150;6.749799e-006;2.916016e+002;293.557064;0.541478;127.679025;7.867502
2;200;7.938237e-006;3.635645e+002;366.324584;0.645002;152.321973;7.069352
3;250;9.059706e-006;4.325037e+002;435.242207;0.638668;177.256586;7.315803
4;300;1.013884e-005;4.989421e+002;502.557740;0.588974;202.234218;10.536557
5;350;1.108314e-005;5.680316e+002;570.040747;0.568354;228.244447;7.926662
6;400;1.210528e-005;6.386002e+002;641.677391;0.599512;255.462550;8.725020
7;450;1.304702e-005;7.050541e+002;708.247065;0.671736;279.266994;7.854548
8;500;1.391966e-005;7.516967e+002;756.828469;0.802896;298.546830;8.305173
9;550;1.497071e-005;8.052312e+002;811.457351;0.622049;320.481858;8.036610
10;600;1.586126e-005;8.755079e+002;883.520368;0.693826;341.431387;7.866044
11;650;1.672804e-005;9.472947e+002;953.273980;0.634269;369.676664;11.512643
12;700;1.770542e-005;1.012219e+003;1018.171072;0.611056;389.191317;7.830289
13;750;1.861405e-005;1.074385e+003;1080.228227;0.709311;409.697745;10.008645
14;800;1.957239e-005;1.145895e+003;1153.239049;0.752570;430.662472;7.653212
15;850;2.047903e-005;1.228093e+003;1235.307705;0.667111;454.925165;8.563431
16;900;2.126652e-005;1.304060e+003;1312.220544;0.641838;477.604946;8.076124
