Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;5.751351e-006;2.113777e+002;195.728248;0.665057;95.007340;10.395647
1;150;7.222673e-006;2.818130e+002;261.290242;0.754292;120.689778;12.779927
2;200;8.585528e-006;3.551652e+002;328.285132;0.706407;144.491417;11.946959
3;250;9.836612e-006;4.198985e+002;392.069529;0.723441;172.341313;11.095849
4;300;1.097948e-005;4.845999e+002;454.600639;0.803570;193.552341;15.756005
5;350;1.215645e-005;5.497867e+002;516.031982;0.771839;219.582782;12.976036
6;400;1.325302e-005;6.119473e+002;574.012049;0.807395;243.766847;12.670046
7;450;1.443812e-005;6.774533e+002;633.757116;0.828304;264.428137;15.596343
8;500;1.552369e-005;7.404142e+002;694.743360;0.819280;288.490704;14.074916
9;550;1.660795e-005;8.052244e+002;758.222558;0.818200;311.557738;12.860058
10;600;1.771650e-005;8.696953e+002;819.242518;0.753896;333.242375;12.325325
11;650;1.887829e-005;9.342966e+002;880.993176;0.816242;354.975546;12.734656
12;700;2.008953e-005;9.997985e+002;940.947507;0.910155;380.149551;11.910358
13;750;2.126304e-005;1.068561e+003;1007.824711;0.793252;402.794090;16.140416
14;800;2.247483e-005;1.136256e+003;1072.094794;0.815777;422.535501;13.373929
15;850;2.357412e-005;1.206134e+003;1138.509036;0.690168;445.908745;11.553718
16;900;2.479900e-005;1.278751e+003;1208.095886;0.836204;464.715600;14.233307
