Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;6.078038e-006;2.775348e+002;280.928856;0.476570;88.806838;2.032683
1;150;7.664017e-006;3.780506e+002;382.078041;0.441947;121.825950;2.119255
2;200;9.092419e-006;4.769072e+002;481.233965;0.464878;154.896128;1.758587
3;250;1.034132e-005;5.729653e+002;577.698670;0.589388;186.288389;1.976072
4;300;1.159739e-005;6.716788e+002;676.927844;0.451136;217.695790;1.773276
5;350;1.272148e-005;7.681236e+002;773.824458;0.591089;247.516193;1.884910
6;400;1.385539e-005;8.729664e+002;879.367461;0.646703;279.045497;1.929064
7;450;1.489108e-005;9.821843e+002;989.156464;0.602814;312.313420;1.760960
8;500;1.583704e-005;1.105149e+003;1112.785113;0.682365;347.927537;2.080850
9;550;1.672013e-005;1.235992e+003;1243.044346;0.732873;387.263765;1.967258
10;600;1.757522e-005;1.350753e+003;1358.154486;0.812701;422.620770;1.871648
11;650;1.830069e-005;1.450840e+003;1459.308536;0.851953;453.713333;2.015949
12;700;1.883060e-005;1.529809e+003;1538.236058;0.793467;479.669210;1.850072
13;750;1.955998e-005;1.589433e+003;1598.105669;0.849778;499.119099;2.183043
14;800;2.034055e-005;1.649697e+003;1658.597997;0.772493;519.220978;1.760185
15;850;2.108231e-005;1.696374e+003;1705.082077;0.876974;534.100734;1.783440
16;900;2.191704e-005;1.744607e+003;1754.056821;0.800370;549.460104;1.726958
