Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;3.613425e-006;3.976424e+002;394.165919;0.471944;128.083629;1.782921
1;150;4.460386e-006;5.399243e+002;537.180093;0.414629;178.072736;2.051405
2;200;5.224052e-006;6.689883e+002;665.398356;0.457458;224.081511;1.879172
3;250;5.910116e-006;8.092158e+002;804.736067;0.539557;271.270396;2.121717
4;300;6.586949e-006;9.318682e+002;928.342381;0.513782;314.937705;2.102097
5;350;7.190504e-006;1.061707e+003;1055.838504;0.493013;356.480253;2.111771
6;400;7.796021e-006;1.185058e+003;1180.298621;0.628750;397.925015;2.151677
7;450;8.381518e-006;1.312932e+003;1305.841532;0.610897;434.774208;2.277438
8;500;8.917878e-006;1.449045e+003;1445.344043;0.687211;476.000989;2.079826
9;550;9.458208e-006;1.544991e+003;1545.737019;1.580133;505.773926;2.277330
10;600;9.896280e-006;1.662634e+003;1654.991785;0.848444;533.067280;2.191931
11;650;1.032040e-005;1.795383e+003;1789.136582;0.851161;570.982779;1.921296
12;700;1.071251e-005;1.916963e+003;1910.511244;0.760752;603.920223;1.882889
13;750;1.113307e-005;2.062911e+003;2054.393068;0.877204;642.554222;1.815451
14;800;1.154229e-005;2.165790e+003;2166.550879;1.426646;673.794272;2.121878
15;850;1.196479e-005;2.288872e+003;2280.701923;0.804825;705.664445;2.377749
16;900;1.241077e-005;2.408460e+003;2401.104204;0.806439;741.704973;2.268963
