Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;7.290761e-006;2.656298e+002;264.068440;0.846338;117.554305;16.561300
1;150;9.484799e-006;3.305742e+002;329.757081;0.936404;142.012089;21.267829
2;200;1.128649e-005;3.933472e+002;392.574961;0.861402;163.940916;18.938746
3;250;1.296125e-005;4.589756e+002;457.443057;0.921438;175.135166;15.252720
4;300;1.456934e-005;5.240068e+002;523.362395;0.800905;198.507565;15.661019
5;350;1.619003e-005;5.894796e+002;589.303635;1.035878;217.411748;16.966297
6;400;1.779226e-005;6.531863e+002;653.089044;1.017392;236.711326;18.674912
7;450;1.937997e-005;7.156864e+002;714.924557;0.921338;252.906251;17.579067
8;500;2.095424e-005;7.812501e+002;780.741558;1.120906;276.244662;16.175930
9;550;2.252473e-005;8.547820e+002;855.171408;0.969359;300.413237;20.482593
10;600;2.413420e-005;9.243465e+002;924.538551;1.104620;318.303802;15.419415
11;650;2.579628e-005;9.978398e+002;998.695144;0.997418;339.161169;15.649940
12;700;2.744546e-005;1.073936e+003;1074.753347;1.079642;358.805475;14.766255
13;750;2.916651e-005;1.167600e+003;1168.811723;1.197909;386.286092;14.660419
14;800;3.106287e-005;1.231943e+003;1233.277704;1.127557;404.850255;16.558589
15;850;3.307009e-005;1.293099e+003;1294.031447;1.039280;424.849058;13.331524
16;900;3.394425e-005;1.388512e+003;1389.894672;1.337730;450.428254;14.857254
