Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;9.736307e-006;2.206114e+002;224.028314;0.452230;66.011688;1.914087
1;150;1.204263e-005;2.939576e+002;297.867808;0.461969;90.410805;2.432620
2;200;1.408279e-005;3.612697e+002;365.425483;0.443065;112.758543;1.892437
3;250;1.594830e-005;4.256277e+002;429.687659;0.470546;135.660471;2.014963
4;300;1.762493e-005;4.905212e+002;495.441351;0.491510;157.721941;1.936655
5;350;1.938482e-005;5.534091e+002;558.762178;0.551511;178.708380;1.778433
6;400;2.108565e-005;6.195745e+002;624.974090;0.477714;200.259165;2.170159
7;450;2.281307e-005;6.873242e+002;693.084324;0.526277;222.897777;1.690367
8;500;2.454283e-005;7.531924e+002;759.668405;0.480959;244.000963;2.034678
9;550;2.608498e-005;8.220655e+002;828.154081;0.564239;265.196008;1.867233
10;600;2.774633e-005;8.949355e+002;901.828836;0.590295;287.698721;2.109266
11;650;2.920853e-005;9.732480e+002;980.065335;0.515650;311.242414;2.085875
12;700;3.074110e-005;1.049221e+003;1056.520189;0.557339;334.355064;1.872618
13;750;3.232146e-005;1.123449e+003;1131.401138;0.609920;357.460190;1.771905
14;800;3.399881e-005;1.188725e+003;1196.553197;0.673939;377.196569;2.215444
15;850;3.549581e-005;1.253534e+003;1261.477596;0.646637;396.945442;2.109379
16;900;3.705887e-005;1.315517e+003;1323.313944;0.674444;416.170252;2.101457
