Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;5.306967e-006;2.156190e+002;203.899833;0.362214;72.765186;3.948063
1;150;6.529315e-006;2.951657e+002;282.165088;0.347422;92.865320;3.860154
2;200;7.578018e-006;3.781027e+002;363.627045;0.360351;115.118500;3.853775
3;250;8.495127e-006;4.651715e+002;449.574211;0.323608;137.729327;4.644958
4;300;9.296296e-006;5.618969e+002;545.671839;0.347633;163.915925;3.160774
5;350;9.947483e-006;6.668275e+002;648.187856;0.479983;195.042598;3.173966
6;400;1.050744e-005;7.703018e+002;750.944378;0.425987;222.181302;3.086271
7;450;1.109330e-005;8.469364e+002;826.255796;0.405083;245.495795;3.429066
8;500;1.159624e-005;9.028721e+002;881.609635;0.414454;262.625305;3.484471
9;550;1.199335e-005;9.472640e+002;924.851316;0.401780;275.620986;3.814716
10;600;1.251217e-005;9.809847e+002;957.882309;0.389037;286.379852;3.927181
11;650;1.293900e-005;1.010254e+003;986.396125;0.441081;296.401013;3.219873
12;700;1.355264e-005;1.035683e+003;1011.652663;0.403342;303.893074;3.480975
13;750;1.415497e-005;1.062114e+003;1038.152446;0.417158;309.313156;4.064494
14;800;1.475742e-005;1.085559e+003;1061.108710;0.401581;318.227576;3.610143
15;850;1.496386e-005;1.107463e+003;1083.051446;0.382595;324.882763;3.267098
16;900;1.456761e-005;1.128255e+003;1103.793487;0.398004;331.455474;3.864277
