Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;8.579122e-006;1.638497e+002;185.543828;1.889169;73.172061;12.752215
1;150;1.115768e-005;2.247819e+002;258.803614;1.952743;94.952028;10.015694
2;200;1.338636e-005;3.019792e+002;335.307736;1.952576;111.966897;10.566346
3;250;1.553817e-005;3.760023e+002;405.402137;1.896818;127.177964;8.730542
4;300;1.753246e-005;4.413900e+002;480.743037;2.347094;148.016414;9.122064
5;350;1.934589e-005;5.240017e+002;563.918929;1.876032;175.129139;12.533615
6;400;2.090856e-005;6.032390e+002;648.332495;2.534190;192.468445;9.148927
7;450;2.230697e-005;6.668343e+002;711.192105;2.152379;212.405889;9.296988
8;500;2.359554e-005;7.322092e+002;776.585400;2.012507;225.376157;12.194469
9;550;2.479529e-005;7.682533e+002;811.690967;2.304417;235.494152;9.640747
10;600;2.623268e-005;8.238677e+002;865.643694;1.971302;247.578644;8.162589
11;650;2.769122e-005;8.551306e+002;899.473874;2.197195;258.575625;9.104532
12;700;2.923539e-005;8.874646e+002;932.087739;2.514273;268.069259;8.476432
13;750;3.145094e-005;9.032498e+002;949.399644;1.929866;273.428243;7.391739
14;800;3.371308e-005;9.552079e+002;997.983499;2.133607;282.889492;7.923590
15;850;3.592289e-005;9.820408e+002;1012.544935;2.383512;288.516948;7.993499
16;900;3.831384e-005;1.030022e+003;1057.172449;2.860075;298.925321;8.476007
