Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;6.471622e-006;2.114642e+002;213.414675;0.437051;69.544529;2.098555
1;150;8.181869e-006;2.859588e+002;287.902924;0.475144;93.081296;1.848175
2;200;9.903539e-006;3.596132e+002;362.165234;0.442415;116.876765;2.128712
3;250;1.135163e-005;4.303500e+002;433.547825;0.454577;139.221090;2.013510
4;300;1.294365e-005;5.001615e+002;503.507880;0.547744;162.476493;2.088270
5;350;1.457320e-005;5.717472e+002;574.754888;0.597383;185.943447;1.898002
6;400;1.604440e-005;6.488674e+002;652.794317;0.481776;211.313149;1.939706
7;450;1.748482e-005;7.236666e+002;727.328156;0.527872;234.625956;1.884439
8;500;1.891874e-005;8.018826e+002;805.660390;0.549704;258.209347;2.122459
9;550;2.043571e-005;8.817792e+002;886.496869;0.754541;282.628490;1.808693
10;600;2.198433e-005;9.725905e+002;978.107386;0.559258;309.134301;2.159757
11;650;2.368925e-005;1.064984e+003;1070.721630;0.584615;335.305915;1.924675
12;700;2.510963e-005;1.163281e+003;1169.057144;0.737859;363.811483;2.383403
13;750;2.690873e-005;1.260901e+003;1267.060556;0.720888;392.277586;1.738323
14;800;2.867311e-005;1.358788e+003;1366.185421;0.884039;422.911460;1.985094
15;850;3.028280e-005;1.447829e+003;1454.955631;0.812807;450.876546;1.977042
16;900;3.194080e-005;1.527214e+003;1534.149530;0.998388;476.445478;1.732597
