Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;7.227001e-006;1.840054e+002;183.636166;0.757590;79.250771;10.490504
1;150;9.052440e-006;2.552772e+002;254.343020;0.787353;104.598587;14.403824
2;200;1.095143e-005;3.201747e+002;318.949945;0.655419;121.161829;12.690904
3;250;1.262307e-005;3.818889e+002;380.190223;0.721788;144.327279;11.778223
4;300;1.426564e-005;4.454915e+002;443.196966;0.713623;162.409883;11.209971
5;350;1.577436e-005;5.074012e+002;503.723158;0.625910;181.353071;14.219145
6;400;1.734011e-005;5.645790e+002;561.054820;0.678326;202.254268;12.547591
7;450;1.892443e-005;6.274711e+002;623.386920;0.630469;222.490705;12.894774
8;500;2.042279e-005;6.921732e+002;686.248900;0.681054;243.821299;12.810345
9;550;2.200842e-005;7.615593e+002;755.606177;0.661043;262.793028;10.632815
10;600;2.379155e-005;8.337995e+002;827.194713;0.726099;286.544696;11.175198
11;650;2.531094e-005;9.124177e+002;903.556997;0.764909;309.930787;10.973515
12;700;2.658418e-005;9.926525e+002;984.918127;0.868775;334.389100;10.751285
13;750;2.826871e-005;1.078874e+003;1069.692494;0.777285;359.342817;10.106379
14;800;2.976661e-005;1.156814e+003;1145.577895;0.803305;381.805473;10.132181
15;850;3.159338e-005;1.229145e+003;1218.453458;0.954039;404.240630;13.434678
16;900;3.306287e-005;1.295952e+003;1285.118372;0.899787;425.413244;12.148585
