Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;7.665235e-006;2.030731e+002;202.896983;0.891977;82.325163;12.518653
1;150;9.769433e-006;2.855072e+002;284.736197;0.959436;101.772472;10.177824
2;200;1.161317e-005;3.672729e+002;367.408358;0.893146;122.395187;8.776809
3;250;1.313898e-005;4.565589e+002;456.854560;1.017237;146.793731;11.159436
4;300;1.458596e-005;5.503768e+002;550.273895;0.845174;167.341345;11.715199
5;350;1.608549e-005;6.421496e+002;642.422093;1.007325;195.918438;25.865700
6;400;1.730245e-005;7.138109e+002;713.790085;0.943561;215.838893;17.655654
7;450;1.852127e-005;7.737947e+002;773.154625;0.886966;231.550788;12.488948
8;500;1.973657e-005;8.161766e+002;815.019672;0.880166;244.969997;13.830226
9;550;2.079742e-005;8.543165e+002;854.135400;0.906032;256.340483;1.464056
10;600;2.183747e-005;8.861840e+002;885.553393;0.983102;268.234620;43.773668
11;650;2.332866e-005;9.090607e+002;908.688033;0.908153;276.895106;22.694604
12;700;2.432929e-005;9.224536e+002;922.556241;0.925783;277.953742;15.490689
13;750;2.599069e-005;9.414338e+002;941.070175;1.056786;284.938722;16.679407
14;800;2.768826e-005;9.589191e+002;960.179714;1.080080;290.386567;12.371858
15;850;2.941564e-005;9.875871e+002;987.782513;0.948566;297.429034;17.868987
16;900;3.182444e-005;1.005972e+003;1015.198107;1.011668;304.603918;9.784445
