Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;2.239258e-006;1.899179e+002;198.110909;0.804697;90.651329;11.468807
1;150;2.797902e-006;2.632832e+002;273.014608;0.731346;118.941808;8.235725
2;200;3.319339e-006;3.299436e+002;339.840755;0.714316;143.041817;10.716407
3;250;3.809890e-006;4.083736e+002;415.330336;0.814087;164.731751;11.502541
4;300;4.255562e-006;4.914764e+002;497.736458;0.965311;189.695396;11.202270
5;350;4.708039e-006;5.622034e+002;567.638400;0.788427;211.889414;9.441348
6;400;5.149726e-006;6.360394e+002;640.675689;0.825537;236.011701;10.202215
7;450;5.590510e-006;7.113007e+002;716.751859;0.656049;259.813219;10.141282
8;500;6.066056e-006;7.740645e+002;780.747365;0.750913;285.863224;9.879216
9;550;6.508723e-006;8.347953e+002;844.783811;0.946340;312.809314;10.138760
10;600;6.979926e-006;8.980746e+002;909.647258;0.880141;337.584480;9.454623
11;650;7.455891e-006;9.816177e+002;988.205065;0.897896;364.752239;9.502617
12;700;7.935258e-006;1.060005e+003;1069.980254;0.954037;388.514684;9.956956
13;750;8.455684e-006;1.134021e+003;1144.011067;0.899383;410.503825;9.395887
14;800;9.015723e-006;1.222076e+003;1231.655356;0.752567;440.240668;10.245693
15;850;9.593729e-006;1.304084e+003;1314.157675;0.857751;461.064515;10.425908
16;900;1.021449e-005;1.396985e+003;1407.106438;0.863933;489.159258;8.090681
