Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;3.380984e-006;1.479537e+002;147.050911;0.478186;53.826026;1.515908
1;150;4.277737e-006;2.141813e+002;214.093751;0.494370;68.229457;1.457624
2;200;5.142113e-006;2.772720e+002;277.524850;0.481893;85.578852;1.736710
3;250;6.021516e-006;3.412302e+002;342.305812;0.513384;104.578787;1.700639
4;300;6.903479e-006;4.126100e+002;413.776513;0.492683;123.175102;1.619828
5;350;7.779843e-006;4.869775e+002;488.730928;0.516010;143.446464;1.761952
6;400;8.691017e-006;5.679723e+002;570.065454;0.520598;165.519435;1.809055
7;450;9.514660e-006;6.547182e+002;657.409688;0.522176;189.262827;1.450001
8;500;1.032121e-005;7.492365e+002;752.678284;0.574532;215.883680;1.677161
9;550;1.109893e-005;8.506233e+002;854.533391;0.579737;244.611333;1.938863
10;600;1.187258e-005;9.634886e+002;968.265225;0.564130;277.798634;1.891885
11;650;1.263439e-005;1.060055e+003;1065.035741;0.625294;305.821108;1.720837
12;700;1.329337e-005;1.129098e+003;1134.317745;0.688710;326.223265;1.631624
13;750;1.400715e-005;1.181532e+003;1186.996919;0.645821;340.621035;1.800805
14;800;1.462227e-005;1.235153e+003;1241.268783;0.656026;355.569617;2.050555
15;850;1.541307e-005;1.276541e+003;1282.574464;0.704277;366.383535;1.712402
16;900;1.620256e-005;1.318906e+003;1324.834112;0.723360;377.776257;1.884311
