Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;7.057979e-006;1.100242e+002;87.987016;0.628025;57.290442;17.883714
1;150;8.975489e-006;1.461329e+002;124.665973;0.588614;73.000782;14.886447
2;200;1.083757e-005;1.841645e+002;166.274233;0.620412;81.926948;16.534342
3;250;1.278732e-005;2.222394e+002;202.618905;0.557307;89.808866;17.597774
4;300;1.467961e-005;2.637477e+002;242.526535;0.640684;98.362459;10.580274
5;350;1.651293e-005;3.081512e+002;291.842199;0.650365;110.319134;10.224388
6;400;1.842388e-005;3.554572e+002;343.833156;0.625008;119.273088;11.135911
7;450;2.030532e-005;4.055279e+002;393.492886;0.721235;132.732704;12.469954
8;500;2.226489e-005;4.610478e+002;448.859388;0.729595;146.920725;12.271567
9;550;2.426257e-005;5.145392e+002;500.965802;0.780493;158.113812;11.350114
10;600;2.617882e-005;5.773463e+002;563.172301;0.847151;177.148845;12.695006
11;650;2.797102e-005;6.478598e+002;631.050656;0.704548;190.065078;12.004603
12;700;2.985447e-005;7.157422e+002;697.371872;0.664326;214.761137;12.839747
13;750;3.169333e-005;7.803135e+002;758.649072;0.834507;231.859657;16.193824
14;800;3.365352e-005;8.262805e+002;802.172065;0.804541;247.702347;15.098790
15;850;3.561065e-005;8.667219e+002;843.286596;0.771606;255.204973;14.320635
16;900;3.777481e-005;9.123910e+002;884.986949;1.054510;269.787024;13.305084
