Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;1.818844e-006;1.199736e+002;108.833456;0.732449;59.990245;11.800771
1;150;2.307081e-006;1.642009e+002;153.310620;0.861449;89.335821;21.404160
2;200;2.775239e-006;2.117500e+002;201.841976;1.109789;112.647512;25.363712
3;250;3.264593e-006;2.627986e+002;249.936477;0.876533;109.991113;18.621077
4;300;3.741217e-006;3.103620e+002;298.786587;0.894872;126.922852;19.497805
5;350;4.251760e-006;3.619848e+002;351.402926;0.993257;153.342782;25.343543
6;400;4.785862e-006;4.138365e+002;401.232981;1.052115;172.887168;28.783314
7;450;5.406362e-006;4.704384e+002;460.646631;0.996974;191.277544;28.238626
8;500;6.066165e-006;5.322806e+002;522.274059;1.001902;204.804295;23.726787
9;550;6.790834e-006;6.021238e+002;587.358646;1.068225;229.976158;23.371090
10;600;7.697984e-006;6.775302e+002;660.820159;0.847424;241.129042;18.159675
11;650;8.619774e-006;7.566620e+002;740.453191;0.808197;256.922029;11.871648
12;700;9.686933e-006;8.436351e+002;825.817127;0.885742;285.160589;13.174951
13;750;1.087294e-005;9.289462e+002;910.442410;1.010908;309.347717;19.068216
14;800;1.221664e-005;1.027547e+003;1007.222282;1.012043;338.391196;11.982194
15;850;1.356595e-005;1.122977e+003;1104.538605;1.071266;365.869347;14.775043
16;900;1.504159e-005;1.233613e+003;1210.674492;1.057345;399.729608;15.678281
