Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;3.697493e-006;1.777218e+002;201.277514;0.647835;75.145760;7.109196
1;150;4.594423e-006;2.477348e+002;269.784577;0.802599;93.058258;6.234399
2;200;5.420020e-006;3.100016e+002;332.688681;0.799411;113.666551;7.228450
3;250;6.169731e-006;3.733330e+002;397.450346;0.639884;134.232245;8.101259
4;300;6.958902e-006;4.339760e+002;459.022322;0.650068;158.250110;10.273097
5;350;7.740218e-006;4.981087e+002;523.754194;0.875237;177.977504;8.725575
6;400;8.472511e-006;5.620756e+002;588.380101;0.694923;198.304861;6.504728
7;450;9.128142e-006;6.292289e+002;655.951663;0.819110;219.830778;7.346564
8;500;9.737143e-006;6.930174e+002;719.815150;0.837100;241.090224;7.584302
9;550;1.048786e-005;7.703093e+002;795.669973;0.949191;267.417567;6.530549
10;600;1.158124e-005;8.373171e+002;863.715481;0.867137;289.578229;8.412748
11;650;1.237138e-005;9.085463e+002;935.352569;0.948501;312.663165;7.260225
12;700;1.318795e-005;9.792548e+002;1006.138461;0.918135;334.586087;6.898409
13;750;1.400906e-005;1.041030e+003;1069.535010;1.042894;356.510160;6.918251
14;800;1.486055e-005;1.109099e+003;1134.293604;1.150031;374.123563;6.918994
15;850;1.570017e-005;1.183119e+003;1209.692359;1.457012;397.074302;9.497935
16;900;1.667694e-005;1.272678e+003;1302.288927;1.209074;419.800448;8.106086
