Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;9.000046e-007;1.200031e+002;119.638995;1.123699;64.176224;11.584949
1;150;1.112363e-006;1.646831e+002;165.145069;0.929618;81.969757;12.999722
2;200;1.320702e-006;2.090029e+002;210.197986;1.073905;95.745360;13.553122
3;250;1.522133e-006;2.559736e+002;258.280108;0.897449;110.317857;13.596739
4;300;1.729429e-006;3.024990e+002;303.648680;0.923078;126.473467;18.476956
5;350;1.928344e-006;3.452988e+002;344.272651;0.944583;138.276937;11.581498
6;400;2.138093e-006;3.924577e+002;393.383638;1.097962;156.637998;13.383136
7;450;2.360294e-006;4.406390e+002;443.052696;1.210224;173.179029;14.267676
8;500;2.613451e-006;4.894626e+002;490.070496;0.864323;189.823927;13.817275
9;550;2.896208e-006;5.444974e+002;544.407743;0.885892;208.168049;13.657954
10;600;3.204697e-006;5.865903e+002;589.044341;1.006371;224.974514;13.147946
11;650;3.619664e-006;6.505192e+002;651.929602;0.926543;244.063585;12.518806
12;700;4.132869e-006;7.013788e+002;705.243805;1.095738;264.092718;15.368528
13;750;4.853419e-006;7.806345e+002;780.799131;0.926441;287.467766;13.312496
14;800;5.792866e-006;8.563826e+002;857.264415;1.108514;309.946285;11.754829
15;850;7.035928e-006;9.296739e+002;930.616821;1.024697;332.127588;13.032528
16;900;8.493033e-006;1.022784e+003;1024.130021;1.065708;362.789490;14.197421
