Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;6.921858e-006;1.630544e+002;161.950945;0.415842;57.699311;1.697361
1;150;8.822984e-006;2.231771e+002;221.154057;0.402032;79.233428;1.756032
2;200;1.052688e-005;2.815167e+002;278.595014;0.434645;100.798064;2.002207
3;250;1.211608e-005;3.403964e+002;337.336113;0.389974;121.758693;1.661164
4;300;1.361181e-005;3.991871e+002;395.988728;0.429234;142.611221;2.245398
5;350;1.514722e-005;4.567848e+002;452.470895;0.457268;163.658646;1.728994
6;400;1.668942e-005;5.119659e+002;507.386889;0.393885;183.273679;1.698690
7;450;1.812523e-005;5.658929e+002;561.224446;0.426332;202.554346;1.755148
8;500;1.955562e-005;6.209127e+002;615.546214;0.558859;221.880167;1.735885
9;550;2.106447e-005;6.767573e+002;670.475307;0.521021;240.459054;1.856139
10;600;2.235215e-005;7.384070e+002;732.290371;0.573602;260.404868;1.657334
11;650;2.380986e-005;8.035088e+002;796.985279;0.539020;281.801735;1.402112
12;700;2.534419e-005;8.751447e+002;868.567726;0.628095;303.933371;1.493288
13;750;2.680970e-005;9.208887e+002;914.042076;0.911828;319.061319;1.479957
14;800;2.821115e-005;9.655551e+002;958.216978;0.611340;333.309827;1.299166
15;850;2.974781e-005;1.039596e+003;1033.470993;1.351944;356.704946;1.570378
16;900;3.111531e-005;1.127383e+003;1119.741145;0.733860;383.833609;1.728955
