Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-900.0,-3.959574e-05,868.6249022892239,868.6249022892239,247.31658291457288,2.8551600304362212,0.5458102022996122,0.5458102022996122
1,-800.0,-3.499596e-05,735.4651122278055,735.4651122278055,210.2110552763819,2.8167060321916706,0.4862755755677474,0.4862755755677474
2,-700.0,-2.972538e-05,586.6757967615856,586.6757967615856,169.44723618090453,2.8443669604271036,0.4412255485652946,0.4412255485652946
3,-600.0,-2.52434e-05,465.4715354550529,465.4715354550529,136.76381909547737,2.852492129706515,0.44226575023715003,0.44226575023715003
4,-500.0,-2.041904e-05,363.5714394193188,363.5714394193188,108.30150753768844,2.9803828173559825,0.43831255099321853,0.43831255099321853
5,-400.0,-1.60425e-05,272.7186152987157,272.7186152987157,81.68844221105527,2.829435774477322,0.429559122334603,0.429559122334603
6,-300.0,-1.212284e-05,196.46461641541038,196.46461641541038,60.78391959798995,2.7754881624342063,0.4101416469621447,0.4101416469621447
7,-200.0,-9.130537e-06,126.42106532663315,126.42106532663315,40.08040201005025,2.7403120732353856,0.4109235634137809,0.4109235634137809
8,-100.0,-5.401705e-06,65.6093903133903,65.6093903133903,24.0,2.8552460824442756,0.3918052930172577,0.3918052930172577
