Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;1.026947e-005;1.813679e+002;182.732858;0.422616;65.844404;2.258736
1;150;1.289630e-005;2.439391e+002;245.578991;0.419419;87.716192;2.369660
2;200;1.547773e-005;3.017003e+002;303.490514;0.407029;107.311300;2.103879
3;250;1.781315e-005;3.587324e+002;361.104902;0.468895;127.304319;2.495198
4;300;2.023022e-005;4.166728e+002;419.570016;0.468431;146.823143;2.410035
5;350;2.222520e-005;4.730363e+002;476.304470;0.443333;168.471638;2.568899
6;400;2.445574e-005;5.281709e+002;531.219376;0.461015;186.803846;2.571673
7;450;2.674899e-005;5.850389e+002;588.480228;0.466216;206.014660;2.766943
8;500;2.910048e-005;6.412466e+002;644.939483;0.454345;224.072630;2.782982
9;550;3.159865e-005;7.050235e+002;709.928730;0.749785;246.521508;2.706994
10;600;3.423364e-005;7.803438e+002;786.130328;0.508574;272.230135;2.278888
11;650;3.638403e-005;8.458767e+002;851.843446;0.559774;294.027694;2.918599
12;700;3.930324e-005;9.170541e+002;923.133229;0.539802;314.508560;2.073002
13;750;4.114375e-005;9.882035e+002;994.842660;0.589133;335.495834;2.307666
14;800;4.463407e-005;1.063780e+003;1070.332636;0.655057;359.086250;2.457867
15;850;4.748035e-005;1.137345e+003;1144.219117;0.593487;381.579536;2.453233
16;900;5.002190e-005;1.205061e+003;1211.790585;0.578142;402.132286;2.321261
