Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;7.907983e-006;1.285965e+002;163.115359;1.333371;87.016383;10.143964
1;150;1.039705e-005;1.833084e+002;218.997953;1.221688;102.520100;7.853587
2;200;1.270685e-005;2.366019e+002;271.323299;1.380209;121.285942;11.386581
3;250;1.480234e-005;2.827195e+002;320.230397;1.325730;128.390224;8.956510
4;300;1.702715e-005;3.338644e+002;371.652717;1.206461;143.226201;11.034266
5;350;1.907316e-005;3.854391e+002;424.057282;1.198670;159.576955;10.381612
6;400;2.119274e-005;4.289584e+002;467.030483;1.446090;175.416681;10.079556
7;450;2.336522e-005;4.858152e+002;520.090646;1.216895;188.217756;9.616186
8;500;2.549897e-005;5.400696e+002;574.594759;1.334882;205.450532;8.521906
9;550;2.780488e-005;5.925934e+002;627.103513;1.472228;220.672373;11.228541
10;600;3.008894e-005;6.479904e+002;681.740091;1.561755;238.538067;8.559592
11;650;3.287713e-005;7.045414e+002;737.542715;1.241204;259.742708;12.360674
12;700;3.546228e-005;7.649303e+002;798.689463;1.288674;276.372263;13.279757
13;750;3.845163e-005;8.302010e+002;862.378001;1.479284;294.342133;13.046581
14;800;4.116760e-005;8.939814e+002;927.458253;1.553255;317.735289;11.872166
15;850;4.472722e-005;9.632355e+002;993.546141;1.681158;334.542313;9.968152
16;900;4.875586e-005;1.030403e+003;1060.101887;1.660315;354.393334;11.456522
