Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;7.494788e-006;1.531014e+002;153.176443;0.619710;78.841179;9.949467
1;150;9.626555e-006;2.136815e+002;213.475860;0.611471;96.452588;6.660045
2;200;1.164413e-005;2.718235e+002;272.002388;0.548732;115.091128;7.496634
3;250;1.349175e-005;3.378352e+002;338.250102;0.603523;133.780854;6.530249
4;300;1.520851e-005;3.954985e+002;396.126307;0.629747;151.356489;6.233719
5;350;1.685425e-005;4.546361e+002;454.872818;0.661494;173.372393;7.282557
6;400;1.870725e-005;5.149512e+002;515.169275;0.638331;191.594963;6.429707
7;450;2.047504e-005;5.534731e+002;553.132814;0.701545;209.753162;7.456668
8;500;2.217434e-005;6.204374e+002;620.650548;0.629876;226.001139;5.983811
9;550;2.391493e-005;6.846462e+002;684.236492;0.670581;245.997778;6.763693
10;600;2.576374e-005;7.462110e+002;746.197918;0.764622;267.843501;7.202917
11;650;2.750887e-005;8.005945e+002;800.280409;0.984192;284.997078;7.401524
12;700;2.931993e-005;8.645621e+002;864.746281;0.705432;305.664117;7.974722
13;750;3.140718e-005;9.329881e+002;932.669581;0.816935;325.383423;7.461965
14;800;3.335550e-005;1.012883e+003;1013.187736;0.805216;348.741194;6.993570
15;850;3.541842e-005;1.089967e+003;1089.983271;1.009575;371.567528;6.404095
16;900;3.758395e-005;1.149459e+003;1149.250759;0.767330;390.742651;7.785870
