Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;1.493629e-005;1.379040e+002;134.186492;1.148400;-4.436919;7.555968
1;150;1.909643e-005;1.805931e+002;176.314056;1.240013;64.343660;7.075565
2;200;2.280347e-005;2.334993e+002;226.785863;1.222036;77.901847;7.330402
3;250;2.623073e-005;2.717674e+002;267.731115;1.438316;88.137656;8.241812
4;300;2.973897e-005;3.121142e+002;306.852339;1.244018;102.979490;10.112190
5;350;3.326042e-005;3.422820e+002;336.130101;1.158447;115.841186;8.287086
6;400;3.676773e-005;3.905335e+002;385.771059;1.148057;127.589910;8.957036
7;450;4.042712e-005;4.431448e+002;436.010520;1.277977;142.043365;8.481351
8;500;4.393663e-005;4.885683e+002;480.807153;1.234601;153.699692;8.050635
9;550;4.741260e-005;5.394772e+002;529.870568;1.251651;165.249295;8.075343
10;600;5.125595e-005;5.843179e+002;577.138303;1.240217;177.669183;8.936237
11;650;5.515121e-005;6.381390e+002;627.602089;1.048505;192.822153;7.827847
12;700;5.930182e-005;6.774412e+002;668.648430;1.305400;202.714610;8.265781
13;750;6.387122e-005;7.111337e+002;699.440648;1.225237;212.876871;9.304388
14;800;6.895830e-005;7.512027e+002;743.763492;1.245957;224.755235;8.363101
15;850;7.513043e-005;7.872725e+002;777.332088;1.092570;235.948668;9.257980
16;900;8.138424e-005;8.183347e+002;806.976889;1.286394;247.124085;8.073931
