Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;4.747338e-006;1.712368e+002;173.647521;0.509976;77.579351;5.081708
1;150;5.997318e-006;2.399279e+002;241.098470;0.484906;101.380016;6.323999
2;200;7.139340e-006;3.054998e+002;307.150531;0.503318;127.328101;6.367801
3;250;8.152776e-006;3.703047e+002;372.046699;0.438012;150.701081;5.211051
4;300;9.195120e-006;4.341176e+002;436.614253;0.483427;173.705412;5.930566
5;350;1.019839e-005;4.998384e+002;501.831096;0.518562;200.908599;6.150634
6;400;1.116784e-005;5.656525e+002;567.858964;0.513770;223.783491;6.632417
7;450;1.208626e-005;6.290775e+002;630.875737;0.488756;246.122385;6.715022
8;500;1.304434e-005;6.917031e+002;693.978443;0.581780;270.000044;6.249090
9;550;1.400427e-005;7.543961e+002;756.959144;0.626522;292.078536;5.735310
10;600;1.481070e-005;8.143915e+002;816.576066;0.497594;314.277393;6.470196
11;650;1.575271e-005;8.761983e+002;878.637477;0.570793;334.531088;6.441764
12;700;1.679921e-005;9.425887e+002;945.128918;0.601509;357.717350;4.843742
13;750;1.796324e-005;1.013630e+003;1016.336558;0.546070;379.277786;4.731121
14;800;1.905501e-005;1.085963e+003;1088.970992;0.582148;403.366296;6.219407
15;850;1.946604e-005;1.156096e+003;1158.823459;0.638324;423.836168;4.902662
16;900;1.886886e-005;1.226236e+003;1229.235774;0.635651;444.507047;4.863443
