Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;7.006026e-006;1.504208e+002;150.150460;0.354319;68.227592;3.348326
1;150;8.832284e-006;2.008726e+002;201.012308;0.377636;85.447516;4.123965
2;200;1.050713e-005;2.508105e+002;250.937745;0.381330;104.078990;4.802793
3;250;1.205493e-005;2.983206e+002;298.244582;0.384984;119.764636;4.662943
4;300;1.354092e-005;3.471930e+002;347.196297;0.416321;137.982471;5.226757
5;350;1.502908e-005;3.960969e+002;396.090368;0.330767;153.579254;4.006161
6;400;1.652637e-005;4.459281e+002;446.055350;0.402553;170.110389;4.272701
7;450;1.797554e-005;4.945875e+002;494.627114;0.366176;187.102292;4.386705
8;500;1.950398e-005;5.460144e+002;546.054710;0.413166;204.365913;4.499128
9;550;2.087486e-005;6.004467e+002;600.362588;0.369222;223.222682;3.957932
10;600;2.230132e-005;6.534333e+002;653.509744;0.378736;239.839198;4.516506
11;650;2.383365e-005;7.101303e+002;710.268047;0.401518;257.221297;4.183914
12;700;2.515492e-005;7.686522e+002;768.287538;0.426806;275.967787;4.069029
13;750;2.689088e-005;8.299968e+002;830.081214;0.428992;297.366706;4.641527
14;800;2.870597e-005;8.965563e+002;896.264511;0.423286;315.109970;4.556266
15;850;3.033976e-005;9.645312e+002;964.069440;0.503614;336.587395;4.142101
16;900;3.162925e-005;1.028196e+003;1028.112878;0.442988;355.780808;5.061946
