Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;3.167887e-006;2.546252e+002;256.107871;0.469450;96.019271;5.276592
1;150;3.972014e-006;3.585770e+002;361.002567;0.468250;128.924696;6.294096
2;200;4.679665e-006;4.587434e+002;460.437358;0.523387;163.015442;6.378660
3;250;5.370513e-006;5.535053e+002;555.013676;0.530421;198.171682;5.604888
4;300;6.019292e-006;6.503402e+002;653.403917;0.487240;230.702142;7.672684
5;350;6.634123e-006;7.379678e+002;740.441974;0.553714;261.451684;7.072644
6;400;7.227458e-006;8.013158e+002;807.620272;1.489613;286.939782;6.892476
7;450;7.842185e-006;8.852759e+002;887.907896;0.596569;315.632583;4.966658
8;500;8.468664e-006;9.878275e+002;992.356214;0.710660;345.526777;5.862113
9;550;8.866797e-006;1.078033e+003;1082.497423;0.585275;374.762252;6.329664
10;600;9.449298e-006;1.183202e+003;1187.499327;0.672627;405.719160;6.000740
11;650;1.001479e-005;1.303920e+003;1303.943788;1.103047;436.442909;6.153122
12;700;1.041208e-005;1.424111e+003;1428.246809;0.706518;470.329423;5.552406
13;750;1.091304e-005;1.541607e+003;1546.678371;0.982243;502.907895;5.642334
14;800;1.138934e-005;1.617006e+003;1622.143085;0.798219;526.770422;7.069893
15;850;1.180831e-005;1.739231e+003;1743.709655;0.802717;559.220666;8.072988
16;900;1.239092e-005;1.882616e+003;1881.435807;1.001230;596.235141;6.362335
