Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;1.684325e-005;1.513274e+002;157.394304;0.414938;54.173691;2.026501
1;150;2.096664e-005;1.993455e+002;205.800992;0.510272;64.764750;2.077073
2;200;2.480729e-005;2.419810e+002;248.340346;0.573095;75.365734;2.156411
3;250;2.856106e-005;2.887885e+002;295.515833;0.519224;86.998321;1.805972
4;300;3.215469e-005;3.308283e+002;338.493294;0.465267;98.975271;1.808994
5;350;3.583894e-005;3.833621e+002;390.950370;0.494235;111.741531;2.055296
6;400;3.952484e-005;4.284066e+002;436.621969;0.524403;124.023085;1.885282
7;450;4.354788e-005;4.858400e+002;494.443994;0.490063;138.953876;2.216268
8;500;4.765327e-005;5.392747e+002;548.253738;0.530959;153.444964;1.873909
9;550;5.177276e-005;5.917874e+002;601.782534;0.570050;167.300324;2.142271
10;600;5.605999e-005;6.450908e+002;655.032584;0.589751;181.964535;1.760098
11;650;6.058017e-005;6.924150e+002;702.580325;0.590850;194.345631;2.207289
12;700;6.580204e-005;7.457825e+002;756.258910;0.597099;209.576002;1.922322
13;750;7.209929e-005;7.898315e+002;800.771460;0.542765;221.057424;2.030259
14;800;7.980709e-005;8.397526e+002;850.051553;0.600437;235.198676;2.177921
15;850;8.886625e-005;8.836149e+002;894.602556;0.665263;246.772593;1.913240
16;900;9.749394e-005;9.408398e+002;952.394438;0.767844;262.856816;2.217883
