Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;3.478294e-006;3.151751e+002;318.633152;0.378216;99.280285;1.592312
1;150;4.363831e-006;4.262700e+002;429.762344;0.448135;138.711394;1.359590
2;200;5.118172e-006;5.393115e+002;544.106191;0.509017;176.781587;1.340421
3;250;5.813909e-006;6.486183e+002;653.594995;0.527282;215.850366;1.366831
4;300;6.493576e-006;7.392275e+002;744.549102;0.430916;245.713020;1.458869
5;350;7.145152e-006;8.512621e+002;857.677984;0.508395;281.410414;1.421929
6;400;7.767244e-006;9.533405e+002;960.382270;0.526730;316.982046;1.718741
7;450;8.405405e-006;1.066303e+003;1073.392269;0.605971;352.232350;1.617746
8;500;9.023637e-006;1.187475e+003;1195.574129;0.593262;390.879188;1.673331
9;550;9.572245e-006;1.296970e+003;1305.523580;0.635866;424.357910;1.466637
10;600;1.006093e-005;1.423835e+003;1432.923539;0.637749;461.147361;1.713729
11;650;1.058112e-005;1.532469e+003;1542.097852;0.658010;493.170226;1.561872
12;700;1.110641e-005;1.667578e+003;1677.183197;0.634978;529.975441;1.715392
13;750;1.163098e-005;1.783516e+003;1793.293806;0.712418;562.910726;1.622095
14;800;1.218716e-005;1.923090e+003;1934.312533;0.791573;600.554605;1.643946
15;850;1.276342e-005;2.034682e+003;2046.018533;0.772155;632.375694;1.602599
16;900;1.340041e-005;2.160891e+003;2171.780750;0.787186;667.092046;2.080323
