Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;1.687515e-005;1.552757e+002;160.206929;0.468460;53.414034;1.884181
1;150;2.126580e-005;2.065482e+002;210.693534;0.494677;64.581869;1.703598
2;200;2.488723e-005;2.561841e+002;260.614384;0.458998;77.894558;1.969620
3;250;2.849766e-005;3.037894e+002;308.995153;0.477332;91.833749;1.956273
4;300;3.204847e-005;3.564558e+002;361.156222;0.523285;105.220984;1.736141
5;350;3.562450e-005;4.063852e+002;411.329909;0.519347;119.618837;1.885399
6;400;3.941238e-005;4.565653e+002;461.883497;0.482113;134.277726;1.752027
7;450;4.308544e-005;5.094015e+002;515.312403;0.470025;149.297729;1.815407
8;500;4.678173e-005;5.654349e+002;571.728228;0.483227;163.876934;1.655404
9;550;5.033051e-005;6.215343e+002;628.394352;0.536645;179.375000;1.853591
10;600;5.433500e-005;6.759631e+002;683.184673;0.509862;194.003193;2.108056
11;650;5.872668e-005;7.236089e+002;731.725864;0.625581;207.337383;1.772574
12;700;6.316492e-005;7.645387e+002;773.482493;0.707231;219.146402;1.851080
13;750;6.810667e-005;7.997488e+002;809.123279;0.572219;228.140112;1.696804
14;800;7.369910e-005;8.455364e+002;855.394641;0.607145;241.052426;1.901279
15;850;8.093228e-005;8.907947e+002;900.668731;0.523488;254.487981;1.850635
16;900;8.919489e-005;9.355222e+002;945.215284;0.599815;267.240121;1.686857
