Num;Voltage;Ileak[nA];CCE[a.u.];CCE2[a.u.];CCE2err[a.u.];MPV[mV];Noise[mV]
0;100;7.217007e-006;1.531293e+002;153.343460;0.612074;74.025901;12.098377
1;150;9.292442e-006;2.126273e+002;211.836442;0.587771;98.075448;11.966134
2;200;1.107766e-005;2.665202e+002;266.510603;0.687187;112.445956;9.981670
3;250;1.278248e-005;3.184836e+002;318.710448;0.655019;127.802844;10.417598
4;300;1.444316e-005;3.689353e+002;368.967638;0.705191;146.496844;13.920065
5;350;1.612822e-005;4.206844e+002;420.239900;0.634637;160.879405;12.420996
6;400;1.778753e-005;4.753129e+002;475.374418;0.615250;178.387502;9.280666
7;450;1.941686e-005;5.325355e+002;532.565215;0.638590;199.179409;11.992311
8;500;2.099469e-005;5.867713e+002;587.271367;0.696738;214.698425;9.299754
9;550;2.266462e-005;6.447686e+002;644.983821;0.733160;233.797442;10.541261
10;600;2.428421e-005;6.960429e+002;696.586430;0.809543;255.961399;12.630470
11;650;2.605839e-005;7.537949e+002;753.794965;0.771650;271.227735;13.928301
12;700;2.765804e-005;8.139604e+002;814.404448;0.667750;289.198930;11.232272
13;750;2.928443e-005;8.783380e+002;878.171033;0.681124;306.896526;10.757029
14;800;3.086933e-005;9.398993e+002;939.613881;0.894663;322.404831;12.261169
15;850;3.251492e-005;1.001745e+003;1001.894651;0.828118;345.854576;11.093020
16;900;3.422023e-005;1.069750e+003;1069.860761;0.818228;366.627804;12.622335
