time (13.05.2025);set voltage (V);real voltage (V);serial capacitance;1/serial capacitance^2;parallel capacitance;LCR frequency (Hz);r;delta r;x;delta x;sample current
10:20:59;-25;-25.03727;7.029470436149097e-11;2.0237403108891378e+20;6.57956897007272e-11;2000.0;296024.4;44.534784158003966;-1132055.0;104.58847928906893;-8.90388e-07
10:21:18;-50;-50.07019;6.880245644673708e-11;2.1124775966079644e+20;6.589369240866295e-11;2000.0;243006.85;24.310417005884528;-1156608.0;58.6966779298454;-1.259352e-06
10:21:38;-75;-75.09799;6.758610775642551e-11;2.1891984258627846e+20;6.550671380745122e-11;2000.0;209777.15;17.43764247253624;-1177423.5;30.457142019565783;-1.527174e-06
10:21:57;-100;-100.0737;6.666075112245233e-11;2.250399352387382e+20;6.50713788968639e-11;2000.0;186568.25;10.530402413963104;-1193768.0;27.519084287090656;-1.76908e-06
10:22:17;-125;-125.0274;6.584453935155191e-11;2.3065372493270624e+20;6.458781660512049e-11;2000.0;168583.4;16.303128534118834;-1208566.0;26.957373759326035;-1.976303e-06
10:22:37;-150;-150.0071;6.515229693783291e-11;2.3558114992657875e+20;6.412932390792567e-11;2000.0;154263.85;13.469832033102714;-1221407.0;28.426220290429043;-2.174231e-06
10:22:56;-175;-175.0417;6.453696946881635e-11;2.4009486081383393e+20;6.368759797244131e-11;2000.0;142397.7;12.8187557898573;-1233052.5;14.506464076404008;-2.357865e-06
10:23:16;-200;-200.0715;6.394402152690904e-11;2.4456826784010754e+20;6.323518155550096e-11;2000.0;131760.4;13.788836064004823;-1244486.5;19.53554452785998;-2.517529e-06
10:23:35;-225;-225.0853;6.336981703231238e-11;2.4902049588928227e+20;6.277906826788364e-11;2000.0;121815.25;15.065170925017743;-1255763.0;15.363918770938616;-2.681022e-06
10:23:54;-250;-250.0629;6.27900742655073e-11;2.5364015303667892e+20;6.230601224653223e-11;2000.0;111708.1;17.56828107698644;-1267357.5;23.8209466646479;-2.818627e-06
10:24:14;-275;-275.0346;6.221972403365795e-11;2.5831155804879143e+20;6.183453034581898e-11;2000.0;100945.3;16.86121288638513;-1278975.0;17.57128339080558;-2.96127e-06
10:24:32;-300;-300.0127;6.164891812390731e-11;2.6311710425660886e+20;6.135762758691748e-11;2000.0;88939.275;15.298354282405956;-1290817.0;14.232006183247673;-3.091513e-06
10:24:52;-325;-325.0451;6.112922239126533e-11;2.6760995033980227e+20;6.092089097871112e-11;2000.0;76126.44;14.077180825719736;-1301791.0;12.587692401707312;-3.195241e-06
10:25:12;-350;-350.0581;6.069204826989957e-11;2.7147910633063488e+20;6.055099924020578e-11;2000.0;63282.37000000001;15.716109728555534;-1311168.0;15.469324484281787;-3.311283e-06
10:25:31;-375;-375.088;6.034573757411047e-11;2.7460396289008484e+20;6.025410340494734e-11;2000.0;51425.549999999996;15.628559594537242;-1318692.5;11.680646386223666;-3.38483e-06
10:25:50;-400;-400.0655;6.009150808270635e-11;2.7693241514473682e+20;6.003333342904564e-11;2000.0;41223.770000000004;12.486941378896617;-1324271.5;11.731900954235847;-3.489297e-06
10:26:09;-425;-425.0368;5.989868651958054e-11;2.7871824694361044e+20;5.986257015815015e-11;2000.0;32632.260000000002;14.22472214139878;-1328534.5;12.970639922532735;-3.555411e-06
10:26:28;-450;-449.9907;5.975740452230868e-11;2.800377292962044e+20;5.973512637096646e-11;2000.0;25717.164999999997;14.044518993187326;-1331675.5;16.209179498049863;-3.612536e-06
10:26:48;-475;-475.0254;5.96568322819446e-11;2.809827262344358e+20;5.964303370902133e-11;2000.0;20289.305;12.652214183691305;-1333920.5;12.989899922632198;-3.694726e-06
10:27:07;-500;-500.0558;5.95809223775832e-11;2.8169916225172757e+20;5.957220232400511e-11;2000.0;16159.23;14.233128784634804;-1335620.0;12.186057606953941;-3.756089e-06
10:27:26;-525;-525.0883;5.952999994086287e-11;2.821813037974919e+20;5.952431166657564e-11;2000.0;13067.644999999999;13.310571879149267;-1336762.5;12.959070182694436;-3.814229e-06
10:27:46;-550;-550.0704;5.949299379777996e-11;2.8253246075793166e+20;5.948919466259654e-11;2000.0;10689.259999999998;16.933551606204755;-1337594.0;11.861703081766969;-3.869498e-06
10:28:05;-575;-575.0261;5.946594147443878e-11;2.827895792970911e+20;5.94632114273361e-11;2000.0;9067.399000000001;15.12674875675534;-1338202.5;10.485108487755385;-3.93061e-06
10:28:24;-600;-600.0026;5.94491933769699e-11;2.8294893737447975e+20;5.944717214860497e-11;2000.0;7805.2400000000025;15.391169140127076;-1338579.5;18.76799136828446;-3.997452e-06
10:28:44;-625;-625.0292;5.94350736676614e-11;2.8308339102460772e+20;5.943349827191469e-11;2000.0;6893.289500000001;11.90338079024188;-1338897.5;16.475360390595405;-4.05784e-06
10:29:03;-650;-650.0588;5.942703997259882e-11;2.831599339371282e+20;5.942572064007641e-11;2000.0;6309.514500000001;15.84308730132799;-1339078.5;14.937787654134059;-4.087944e-06
10:29:22;-675;-675.0703;5.942173714861259e-11;2.832104748455928e+20;5.942061410646205e-11;2000.0;5822.027499999999;12.450151602992639;-1339198.0;12.915107432770352;-4.163474e-06
10:29:41;-700;-700.0515;5.941435027279555e-11;2.8328090128795645e+20;5.941336365880414e-11;2000.0;5457.96;14.716635332167469;-1339364.5;15.467304225365195;-4.197087e-06
10:30:01;-725;-725.0189;5.941264245783209e-11;2.8329718732726904e+20;5.941173832213065e-11;2000.0;5225.067999999999;12.496748849200731;-1339403.0;12.847178678604886;-4.246479e-06
10:30:21;-750;-749.9892;5.940865054610041e-11;2.8333526041427142e+20;5.940782746029781e-11;2000.0;4985.8724999999995;9.150390999159542;-1339493.0;16.898224758831915;-4.30669e-06
10:30:40;-775;-775.01;5.940598956961589e-11;2.833606438934961e+20;5.940520532849613e-11;2000.0;4867.124500000001;11.858544650904669;-1339553.0;18.82949813457597;-4.342246e-06
10:30:59;-800;-800.016;5.94049695918318e-11;2.833703745286561e+20;5.940423275785516e-11;2000.0;4717.843000000001;12.053186717627847;-1339576.0;13.330416347586446;-4.383317e-06
10:31:18;-825;-825.0436;5.940084569094879e-11;2.8340972184396254e+20;5.940014500260118e-11;2000.0;4601.147999999999;13.416627530791784;-1339669.0;11.508692367076288;-4.424632e-06
10:31:38;-850;-850.02;5.940035795559213e-11;2.8341437600814668e+20;5.939966232167331e-11;2000.0;4584.579000000001;9.37919127377196;-1339680.0;13.114877048604;-4.472754e-06
10:31:57;-875;-874.9864;5.940002541335026e-11;2.8341754932381906e+20;5.939937016293462e-11;2000.0;4449.5515;13.999335864157999;-1339687.5;10.580051984749414;-4.529702e-06
10:32:17;-900;-899.952;5.939638986105273e-11;2.8345224540076586e+20;5.939574112814952e-11;2000.0;4427.773499999999;12.775308729635464;-1339769.5;15.944826747255675;-4.568436e-06
