Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-900.0,-6.418864e-07,3390.785648355555,3390.785648355555,927.4824000000002,3.831463279003288,0.678499539380479,0.678499539380479
1,-850.0,-6.358735e-07,3386.945076266667,3386.945076266667,919.7480000000002,3.8424294060225326,0.7095377795711216,0.7095377795711216
2,-800.0,-6.337711e-07,3393.074647466667,3393.074647466667,913.3392000000005,3.8615574174389513,0.7000341048606147,0.7000341048606147
3,-750.0,-6.157288e-07,3396.7524924444447,3396.7524924444447,905.4112000000003,3.8266187671153644,0.6885837755337528,0.6885837755337528
4,-700.0,-5.896208e-07,3403.0439285333337,3403.0439285333337,897.2240000000005,3.8480950020843654,0.7220114186053302,0.7220114186053302
5,-650.0,-5.921524e-07,3409.3511456,3409.3511456,887.2888000000004,3.8155750748507398,0.6810526342969948,0.6810526342969948
6,-600.0,-6.076453e-07,3412.407684622223,3412.407684622223,875.1920000000002,3.8256116542077137,0.6814187999670139,0.6814187999670139
7,-550.0,-5.913392e-07,3418.5753006222226,3418.5753006222226,861.7032000000003,3.8450435280196036,0.7128154592406644,0.7128154592406644
8,-500.0,-5.991344e-07,3430.107179022223,3430.107179022223,846.3008000000003,3.854681268427448,0.8044013396675079,0.8044013396675079
9,-450.0,-6.000616e-07,3436.3651114666673,3436.3651114666673,825.9688000000003,3.8300844104652443,0.7252468034723631,0.7252468034723631
10,-400.0,-5.804199e-07,3444.602638577778,3444.602638577778,800.2808000000001,3.8468264961955465,0.7296699413177992,0.7296699413177992
11,-350.0,-5.818008e-07,3445.8808472888886,3445.8808472888886,765.3240000000002,3.853543008548862,0.7909153244921211,0.7909153244921211
12,-300.0,-5.649782e-07,3410.322729955556,3410.322729955556,712.8216,3.815091550990554,0.748398635786251,0.748398635786251
13,-250.0,-5.347724e-07,3172.127420444445,3172.127420444445,631.6248,3.8363698865167897,0.8007716323159337,0.8007716323159337
14,-200.0,-4.88529e-07,2696.372667733333,2696.372667733333,536.0736,3.8015374864856404,0.7059070902137743,0.7059070902137743
15,-150.0,-4.357644e-07,2119.1885493333334,2119.1885493333334,428.55760000000004,3.83123279805455,0.590643809496045,0.590643809496045
16,-100.0,-3.768291e-07,1506.8974808888895,1506.8974808888895,307.92879999999997,3.8515696412158786,0.49379106655863897,0.49379106655863897
17,-50.0,-2.736427e-07,852.6994215111116,852.6994215111116,172.61040000000008,3.8160887058846327,0.39750039089651235,0.39750039089651235
