Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-900.0,-4.1303e-07,2368.6109699555554,2368.6109699555554,762.1016000000003,4.276695191824272,0.733530634508142,0.733530634508142
1,-850.0,-4.083422e-07,2356.067724088889,2356.067724088889,754.2904000000001,4.282090869239547,0.6846555446554963,0.6846555446554963
2,-800.0,-3.914727e-07,2371.7097877333335,2371.7097877333335,753.3072000000003,4.223124425751363,0.7567384416706237,0.7567384416706237
3,-750.0,-3.724419e-07,2364.700324622222,2364.700324622222,746.3288,4.251833692045102,0.7282762080472516,0.7282762080472516
4,-700.0,-3.718003e-07,2354.841017955556,2354.841017955556,738.5896000000002,4.268987307260426,0.8149563222722523,0.8149563222722523
5,-650.0,-3.682581e-07,2359.8686648888893,2359.8686648888893,733.5336000000002,4.245406097971237,0.7489798482104053,0.7489798482104053
6,-600.0,-3.506555e-07,2351.717115377778,2351.717115377778,724.2472000000001,4.272003107251379,0.7253586663713362,0.7253586663713362
7,-550.0,-3.580331e-07,2335.172453333333,2335.172453333333,712.3736000000001,4.297566468699338,1.0128525414845346,1.0128525414845346
8,-500.0,-3.649719e-07,2319.1023079111114,2319.1023079111114,698.9368000000001,4.338781110965284,0.7457846918890221,0.7457846918890221
9,-450.0,-3.491603e-07,2329.2070574222225,2329.2070574222225,691.3200000000002,4.316253874657836,0.7972208783216874,0.7972208783216874
10,-400.0,-3.334198e-07,2329.1140949333335,2329.1140949333335,678.8816,4.29606633269708,0.6934310776537197,0.6934310776537197
11,-375.0,-3.247986e-07,2320.9561304888894,2320.9561304888894,670.1655999999999,4.373526345901139,1.0000514653150214,1.0000514653150214
12,-350.0,-3.489973e-07,2267.2133077333337,2267.2133077333337,649.1528000000001,4.645762583382363,0.8232382665547078,0.8232382665547078
13,-325.0,-3.310055e-07,2256.6073934222222,2256.6073934222222,637.3016000000001,4.759282545212613,0.6960014727193611,0.6960014727193611
14,-300.0,-3.452947e-07,2317.635318755556,2317.635318755556,642.0792000000001,4.257879422085281,0.7469014721814947,0.7469014721814947
15,-275.0,-3.317871e-07,2334.484265955555,2334.484265955555,634.6552,4.225580823428705,0.774774037682522,0.774774037682522
16,-250.0,-3.203391e-07,2341.651898666667,2341.651898666667,623.2304,4.246128753687162,0.7264509499347627,0.7264509499347627
17,-225.0,-3.278731e-07,2353.5893610666667,2353.5893610666667,610.0888,4.208463644165965,0.6580144743998263,0.6580144743998263
18,-200.0,-3.129058e-07,2348.3455064888885,2348.3455064888885,590.2112000000001,4.183728838204587,0.7787671777087666,0.7787671777087666
19,-175.0,-3.170121e-07,2358.7017827555555,2358.7017827555555,569.0248000000001,4.2222562427260995,0.7148985150117999,0.7148985150117999
20,-150.0,-3.133132e-07,2340.8161265777776,2340.8161265777776,536.0176000000001,4.213802426029237,0.7348194024708891,0.7348194024708891
21,-125.0,-3.001041e-07,2296.2476256000004,2296.2476256000004,488.16799999999995,4.217452875089419,0.7311058571342457,0.7311058571342457
22,-100.0,-2.902187e-07,2208.483580088889,2208.483580088889,427.88320000000004,4.233349773824012,0.7428682283417971,0.7428682283417971
23,-75.0,-2.698531e-07,1838.558924088889,1838.558924088889,336.31519999999995,4.246105007858147,0.6289660559403193,0.6289660559403193
24,-50.0,-2.371623e-07,1325.7107338666672,1325.7107338666672,240.80480000000003,4.314597543142223,0.48412204781852275,0.48412204781852275
