time,voltage,current
0.8705284595489502,0.0005350339,4.902911e-06
1.0398509502410889,0.0005243132,1.623402e-06
1.304140329360962,6.319364e-05,1.627368e-06
1.47287917137146,6.484214e-05,1.628311e-06
1.6501398086547852,6.080244e-05,1.628275e-06
1.8195998668670654,6.0308e-05,1.628595e-06
1.9960927963256836,6.154485e-05,1.628461e-06
2.1655240058898926,6.071958e-05,1.628442e-06
4.893253326416016,6.30283e-05,1.629108e-06
5.0630481243133545,6.269902e-05,1.629063e-06
5.38152003288269,-5.001028,-2.478166e-05
5.6265199184417725,-5.00115,-6.832535e-06
5.796519994735718,-5.00107,-3.819214e-06
5.9655210971832275,-5.001035,-2.566917e-06
6.135201692581177,-5.001001,-1.900293e-06
7.143885135650635,-10.00189,-2.573666e-05
7.302515506744385,-10.00187,-1.057302e-05
7.588404893875122,-10.00191,-3.741508e-06
7.797792434692383,-10.00187,-2.407019e-06
8.00651741027832,-10.00185,-1.717503e-06
8.85457158088684,-10.00182,-1.266342e-06
9.154294967651367,-10.00191,-3.194473e-07
9.374513626098633,-10.00188,-1.56307e-07
9.590513467788696,-10.00183,-6.584206e-08
9.801515817642212,-10.00182,-2.817953e-08
10.0128173828125,-10.0018,-1.274186e-08
10.895512342453003,-10.00185,-6.336554e-09
11.117618560791016,-10.00183,-1.494496e-09
11.338366270065308,-10.00185,-1.188674e-09
11.555511474609375,-10.00184,-1.11632e-09
11.769906759262085,-10.00184,-8.823113e-10
11.98051118850708,-10.00183,-7.215654e-10
12.191990613937378,-10.00182,-5.486056e-10
13.021039724349976,-10.00186,-6.447588e-10
13.240082502365112,-10.00185,-5.144087e-10
13.453669309616089,-10.0018,-5.452228e-10
13.664738893508911,-10.00185,-2.56765e-10
13.875175952911377,-10.00184,-2.732653e-10
14.08724045753479,-10.00185,-4.915715e-11
14.98043441772461,-10.00181,-2.150627e-10
15.197508335113525,-10.00184,-4.342345e-11
15.412563800811768,-10.0018,-1.888694e-10
15.623955488204956,-10.00187,-4.272226e-11
15.834736585617065,-10.00183,-7.489682e-11
16.04581093788147,-10.00184,-2.391249e-11
16.940276384353638,-10.00185,6.352866e-11
17.151509046554565,-10.00184,-2.102503e-11
21.37935709953308,-10.00181,9.236631e-10
21.55042552947998,-10.00184,5.484526e-10
21.72150492668152,-10.00179,5.12734e-10
21.893234729766846,-10.00182,6.03762e-10
22.070510625839233,-10.00184,7.598363e-10
22.922404527664185,-10.00185,5.05434e-10
23.241804361343384,-15.00195,-2.803008e-05
23.410579681396484,-15.00187,-1.066328e-05
23.659149885177612,-15.00193,-4.080536e-06
23.828605890274048,-15.00191,-2.721151e-06
24.00136661529541,-15.00192,-1.997176e-06
25.005502462387085,-19.99994,-2.722051e-05
25.247498989105225,-19.99998,-1.785962e-06
25.457378387451172,-19.99998,-1.323163e-06
25.747883319854736,-19.98737,-7.447562e-07
25.959186792373657,-20.00009,-7.145758e-07
26.170498609542847,-20.00011,-5.102854e-07
27.043379068374634,-20.0,-3.550619e-07
27.267197370529175,-19.99999,-1.579526e-08
27.4885516166687,-20.0,-7.551395e-09
27.7043514251709,-19.99999,-4.523111e-09
27.915496826171875,-19.99997,-3.4286e-09
28.127092838287354,-19.99994,-2.752852e-09
28.984493494033813,-20.00001,-2.45148e-09
29.2045156955719,-19.99999,-1.617376e-09
29.42530870437622,-20.0,-1.689024e-09
29.64049506187439,-20.0,-1.613789e-09
29.85182547569275,-20.0,-1.592714e-09
30.062864303588867,-19.99998,-1.381268e-09
30.27346968650818,-19.99999,-1.184591e-09
31.100341796875,-19.99999,-1.043022e-09
31.31837511062622,-19.99998,-1.099203e-09
31.533193588256836,-20.0,-1.049126e-09
31.74449324607849,-19.99995,-1.112692e-09
31.955493211746216,-19.99997,-8.400326e-10
32.16734266281128,-19.99999,-9.297504e-10
33.10649371147156,-19.99996,-7.021356e-10
33.33214235305786,-19.99997,-7.300207e-10
33.550416231155396,-20.00001,-5.525243e-10
33.767343521118164,-19.99998,-5.380457e-10
33.982468366622925,-19.99999,-4.208559e-10
34.19406342506409,-19.99995,-4.878041e-10
35.04250907897949,-19.99996,-8.153253e-10
39.35201382637024,-19.99999,1.2915e-10
39.52322030067444,-20.0,-6.49451e-13
39.69401693344116,-19.99998,-2.523249e-11
39.86614179611206,-19.99995,-2.670489e-12
40.04090857505798,-19.99996,-8.487909e-11
40.21233797073364,-19.99995,4.154466e-11
40.980663537979126,-25.03341,-2.811645e-05
41.22984170913696,-25.03589,-2.239946e-06
41.5557336807251,-30.0493,-2.75099e-05
41.71478867530823,-30.04893,-1.117529e-05
41.999309062957764,-30.05292,-4.213302e-06
42.20876145362854,-30.05144,-2.76939e-06
43.1693811416626,-30.05275,-6.68974e-07
43.385159969329834,-30.06297,-5.344027e-07
43.59698700904846,-30.0598,-4.230272e-07
43.80892992019653,-30.05955,-2.663652e-07
44.020482301712036,-30.05765,-1.492691e-07
44.23148441314697,-30.05762,-9.185216e-08
45.05968904495239,-30.05681,-6.462205e-08
45.27907943725586,-30.0565,-5.374519e-08
45.49697923660278,-30.05534,-4.846386e-08
45.712241649627686,-30.05481,-5.311702e-08
45.924375772476196,-30.05704,-4.861803e-08
46.13510084152222,-30.05499,-4.117843e-08
46.991708517074585,-30.05558,-4.680873e-08
47.203367710113525,-30.05694,-5.597335e-08
47.42462730407715,-30.0555,-5.153352e-08
47.642184257507324,-30.05748,-5.152075e-08
47.85947871208191,-30.05557,-4.845219e-08
48.07517886161804,-30.05556,-4.884928e-08
48.28648138046265,-30.05527,-5.279138e-08
49.19069695472717,-30.05495,-5.258052e-08
49.40933179855347,-30.05562,-5.165559e-08
49.625983476638794,-30.05723,-3.974189e-08
49.83735013008118,-30.05485,-4.697119e-08
50.04892420768738,-30.05565,-4.360624e-08
50.25952982902527,-30.05737,-4.416134e-08
51.082677602767944,-30.0577,-5.743987e-08
51.30047559738159,-30.0562,-5.329186e-08
51.51645469665527,-30.05485,-4.616663e-08
55.72904372215271,-30.05581,-5.759616e-08
55.90020489692688,-30.05535,-4.236108e-08
56.073325872421265,-30.05634,-4.045215e-08
56.24382948875427,-30.0561,-4.004589e-08
57.12561321258545,-30.05606,-5.613903e-08
57.44535446166992,-35.04391,-2.801158e-05
57.622469902038574,-35.04032,-1.028399e-05
57.86897611618042,-35.04443,-3.989852e-06
58.0474693775177,-35.04532,-2.64869e-06
58.21722745895386,-35.04442,-1.946548e-06
59.08941602706909,-40.06422,-1.031698e-05
59.26007270812988,-40.06259,-5.252065e-06
59.48046827316284,-40.05913,-2.725816e-06
59.69532036781311,-40.05899,-1.813141e-06
59.90734100341797,-40.05846,-1.302118e-06
60.19962811470032,-40.05496,-8.340723e-07
61.0539448261261,-40.06682,-2.550946e-07
61.274614572525024,-40.06488,-1.294561e-07
61.48919987678528,-40.06546,-8.211814e-08
61.70046615600586,-40.0646,-6.121514e-08
61.912861347198486,-40.06463,-6.051668e-08
62.12434720993042,-40.06402,-4.91576e-08
62.977583169937134,-40.06554,-4.42184e-08
63.20487093925476,-40.06395,-5.616376e-08
63.42546463012695,-40.06396,-5.28962e-08
63.64208388328552,-40.06473,-5.020086e-08
63.853543758392334,-40.06519,-5.026889e-08
64.06491303443909,-40.06402,-4.57593e-08
64.27644038200378,-40.06501,-4.90531e-08
65.17987847328186,-40.06271,-6.296558e-08
65.3985960483551,-40.06501,-5.016789e-08
65.61421704292297,-40.06659,-4.901926e-08
65.82546257972717,-40.06364,-4.488591e-08
