Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-900.0,-3.454521e-05,1033.2131233947514,1033.2131233947514,376.84422110552765,4.892308028281596,0.48662800924330113,0.48662800924330113
1,-800.0,-3.14352e-05,946.8815187046342,946.8815187046342,352.4422110552764,3.1344920772395253,0.7973155475043902,0.7973155475043902
2,-700.0,-2.811166e-05,852.6508274706869,852.6508274706869,321.52763819095475,2.344420205033581,0.5596169140328724,0.5596169140328724
3,-600.0,-2.480772e-05,741.6633925181462,741.6633925181462,282.57286432160805,2.5912162949510953,0.5461881455445668,0.5461881455445668
4,-500.0,-2.196919e-05,637.1341150195419,637.1341150195419,245.7889447236181,2.5442247515020866,0.4575736919878927,0.4575736919878927
5,-400.0,-1.884502e-05,533.9484623115577,533.9484623115577,206.47236180904522,2.7130370678459625,0.4071718351082822,0.4071718351082822
6,-300.0,-1.572067e-05,433.14681853713006,433.14681853713006,167.39698492462313,2.522984962955582,0.3958486612507797,0.3958486612507797
7,-200.0,-1.2439e-05,319.56420323841417,319.56420323841417,121.80904522613065,2.538735219012202,0.33707499043071026,0.33707499043071026
8,-100.0,-8.785413e-06,194.9364600781686,194.9364600781686,73.7286432160804,2.5092089036360803,0.40762509363123534,0.40762509363123534
