Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-900.0,-5.05266e-05,1412.784942222222,1412.784942222222,471.08,2.8683035034065556,0.5344068981590712,0.5344068981590712
1,-800.0,-4.366565e-05,1247.6087466666668,1247.6087466666668,420.84,2.9619215984822347,0.6076480560324334,0.6076480560324334
2,-700.0,-3.737196e-05,1060.3835022222224,1060.3835022222224,360.92,3.0435101242715143,0.5465414048358996,0.5465414048358996
3,-600.0,-3.213296e-05,866.7794666666665,866.7794666666665,300.92,3.1609952722380195,0.5827355516870402,0.5827355516870402
4,-500.0,-2.683173e-05,707.0770133333332,707.0770133333332,248.56,3.0765192452943744,0.4459173161024362,0.4459173161024362
5,-400.0,-2.18762e-05,549.8919111111111,549.8919111111111,197.12,3.4603953245935837,0.7066133222633151,0.7066133222633151
6,-300.0,-1.757194e-05,401.5937422222222,401.5937422222222,146.24,3.924394714671705,0.4539478877580559,0.4539478877580559
7,-200.0,-1.341245e-05,279.89301333333333,279.89301333333333,103.92,4.044507056902402,0.49942301428748803,0.49942301428748803
8,-100.0,-9.103782e-06,156.65434666666664,156.65434666666664,62.96,4.190218185780359,0.4812171102527422,0.4812171102527422
