time,voltage,current
0.23535776138305664,-0.1600612,4.262414e-06
1.093252420425415,0.0005399839,4.288359e-06
1.35213041305542,6.500725e-05,1.618315e-06
1.5277302265167236,6.286337e-05,1.620031e-06
1.6970760822296143,6.261587e-05,1.620129e-06
1.8729703426361084,6.311075e-05,1.620437e-06
2.0427284240722656,6.385276e-05,1.620476e-06
2.2189767360687256,6.500707e-05,1.620293e-06
3.6091010570526123,6.014324e-05,1.621007e-06
3.7852792739868164,6.566732e-05,1.620792e-06
3.9552361965179443,6.550192e-05,1.620477e-06
4.13009786605835,6.286326e-05,1.620341e-06
4.299443006515503,6.253377e-05,1.620256e-06
5.165698766708374,6.286334e-05,1.620476e-06
5.48479962348938,-5.001088,-2.478345e-05
5.736027002334595,-5.001179,-6.64877e-06
5.905743598937988,-5.001109,-3.745865e-06
6.081033706665039,-5.001066,-2.502678e-06
6.25086784362793,-5.001039,-1.860324e-06
7.254182815551758,-10.00187,-2.712447e-05
7.496845722198486,-10.00189,-1.779952e-06
7.706023216247559,-10.00185,-1.317221e-06
7.996495962142944,-9.989945,-7.458905e-07
8.20755672454834,-10.00195,-7.120324e-07
9.055965662002563,-10.0019,-5.048593e-07
9.279180765151978,-10.00187,-3.622332e-08
9.50018048286438,-10.00187,-1.499531e-08
9.714961767196655,-10.00185,-7.232829e-09
9.93219542503357,-10.00184,-4.095818e-09
10.142964363098145,-10.00183,-2.759912e-09
10.35440993309021,-10.00187,-2.157829e-09
11.216812133789062,-10.00186,-1.322405e-09
11.434938669204712,-10.00184,-1.146765e-09
11.647740840911865,-10.00185,-1.224644e-09
11.859188795089722,-10.00185,-1.079281e-09
12.070070505142212,-10.00186,-8.857381e-10
12.281242370605469,-10.00184,-9.160149e-10
13.177307844161987,-10.00183,-9.211709e-10
13.394957780838013,-10.00187,-4.817823e-10
13.608957290649414,-10.00184,-4.43709e-10
13.820235967636108,-10.00186,-3.761007e-10
14.031352281570435,-10.00187,-3.310148e-10
14.242115259170532,-10.00185,-4.410264e-10
15.14115285873413,-10.0019,-3.270962e-10
15.36202359199524,-10.00187,-4.221355e-10
15.583118200302124,-10.00187,-2.043379e-10
15.79795503616333,-10.00186,-8.556645e-13
16.008957624435425,-10.00186,-1.394523e-10
16.22095227241516,-10.00185,1.638498e-11
17.116065502166748,-10.00187,3.404672e-13
17.327443599700928,-10.00186,1.032483e-10
21.512054204940796,-10.00185,6.281803e-10
21.68294858932495,-10.00185,3.098886e-10
21.85799765586853,-10.00186,2.818826e-10
22.029627561569214,-10.00186,4.782518e-10
22.206796407699585,-10.00186,5.698187e-10
22.37785005569458,-10.00186,3.372759e-10
23.377996921539307,-15.00189,-2.800582e-05
23.62486958503723,-15.00194,-1.555166e-06
23.94167947769165,-20.00007,-2.689351e-05
24.108945846557617,-20.0,-1.091768e-05
24.40182590484619,-20.00008,-3.930117e-06
25.237991333007812,-20.0,-1.030697e-06
25.535945653915405,-20.0001,-6.817609e-07
25.746920108795166,-20.00009,-5.069599e-07
25.95794367790222,-20.0001,-3.631322e-07
26.168943405151367,-20.00005,-2.057053e-07
26.380220890045166,-20.00003,-9.275339e-08
27.275383710861206,-19.99998,-5.232611e-09
27.492950439453125,-20.00001,-3.395151e-09
27.70802140235901,-19.99999,-2.829701e-09
27.918941497802734,-19.99997,-2.458787e-09
28.132944107055664,-20.00001,-2.169918e-09
28.34449338912964,-19.99997,-2.160555e-09
29.200361728668213,-19.99999,-2.12376e-09
29.411534547805786,-20.0,-1.573782e-09
29.630937576293945,-19.99999,-1.298687e-09
29.85207176208496,-19.99999,-1.434562e-09
30.067715644836426,-20.00001,-1.457744e-09
30.278785228729248,-19.99999,-1.495858e-09
31.13995099067688,-20.0,-1.268367e-09
31.350937843322754,-20.0,-1.139216e-09
31.56246280670166,-19.99999,-1.006764e-09
31.772937297821045,-19.99999,-1.021285e-09
31.994441270828247,-19.99998,-1.072144e-09
32.21493673324585,-19.99998,-6.992499e-10
32.431615114212036,-19.99998,-8.110776e-10
33.343852043151855,-19.99999,-9.213782e-10
33.56293797492981,-19.99999,-9.529757e-10
33.777554512023926,-19.99996,-8.258442e-10
33.98819088935852,-19.99999,-7.918965e-10
38.16712737083435,-19.99995,1.852979e-11
38.33893013000488,-19.99997,-1.681769e-11
39.224929094314575,-19.99997,1.172424e-11
39.547271966934204,-25.03665,-2.816105e-05
39.71681022644043,-25.03611,-1.069733e-05
39.961928367614746,-25.04159,-4.108271e-06
40.13115739822388,-25.03969,-2.736209e-06
40.304927825927734,-25.0375,-1.997434e-06
41.310145139694214,-30.05004,-2.732462e-05
41.552321910858154,-30.05323,-1.773095e-06
41.76197409629822,-30.05299,-1.326269e-06
42.05423045158386,-30.06905,-8.391128e-07
42.264925479888916,-30.06437,-7.177632e-07
42.476901054382324,-30.06062,-5.400262e-07
43.35656189918518,-30.05572,-9.862066e-08
43.575976848602295,-30.05882,-6.529957e-08
43.79097127914429,-30.05613,-5.776583e-08
44.002225160598755,-30.0564,-4.854987e-08
44.21405506134033,-30.05726,-4.731502e-08
44.42492318153381,-30.05799,-4.909869e-08
45.248793840408325,-30.05545,-5.955514e-08
45.46890044212341,-30.05861,-5.438796e-08
45.68292212486267,-30.05818,-5.017811e-08
