time,voltage,current
0.8589510917663574,4.875881e-06,1.581509e-10
1.121443748474121,-4.999158,-2.58655e-05
1.2980175018310547,-9.999647,-2.354592e-05
1.5558743476867676,-9.99964,-1.709814e-08
1.8065714836120605,-14.99985,-2.628845e-05
2.712266445159912,-14.99983,-4.89314e-09
2.9623773097991943,-19.99968,-2.623262e-05
3.2158737182617188,-19.99967,-2.339858e-08
3.477924108505249,-24.987,-2.631685e-05
3.6548752784729004,-29.98535,-2.372202e-05
4.605845928192139,-30.00402,-5.933733e-08
4.854870319366455,-35.00179,-2.654201e-05
5.113870143890381,-35.01567,-5.610502e-08
5.36487603187561,-39.99906,-2.650347e-05
5.6232545375823975,-40.0171,-6.782698e-08
6.50752592086792,-44.99596,-2.644174e-05
6.6859095096588135,-49.99485,-2.335304e-05
6.945760250091553,-50.01317,-7.391614e-08
7.196002960205078,-55.0092,-2.647674e-05
7.453948974609375,-55.03083,-9.180136e-08
7.703749656677246,-60.00819,-2.631331e-05
8.607871770858765,-60.02779,-8.174964e-08
8.858348608016968,-65.0061,-2.603587e-05
9.10934853553772,-65.02401,-7.857498e-08
9.35973048210144,-70.00261,-2.615363e-05
9.538077116012573,-74.99884,-2.326369e-05
9.789875268936157,-75.02131,-7.743625e-08
10.774418592453003,-80.00871,-2.557105e-05
10.951868295669556,-85.00328,-2.316368e-05
11.20676875114441,-85.02588,-7.90285e-08
11.456429719924927,-89.99649,-2.574621e-05
11.71114444732666,-90.0189,-7.109121e-08
12.610795021057129,-94.99548,-2.567914e-05
12.789354801177979,-99.98753,-2.258193e-05
13.047869205474854,-100.0105,-8.434666e-08
13.297687292098999,-104.9979,-2.552478e-05
13.55639910697937,-105.0217,-9.511609e-08
13.806232213973999,-109.9909,-2.533426e-05
14.711783647537231,-110.0137,-3.67404e-08
14.962170362472534,-114.9855,-2.508026e-05
15.2198646068573,-115.0067,-7.879029e-08
15.469873428344727,-119.9779,-2.5105e-05
15.720872402191162,-119.9995,-7.85496e-08
16.65408492088318,-124.9703,-2.502889e-05
16.831947088241577,-129.9852,-2.181619e-05
17.091322898864746,-130.0054,-7.017819e-08
17.341636657714844,-134.9793,-2.474138e-05
17.59886932373047,-135.0013,-7.30337e-08
17.849815368652344,-139.9728,-2.462712e-05
18.755266427993774,-139.9929,-7.203072e-08
19.005297422409058,-144.9662,-2.442347e-05
19.264593362808228,-144.9871,-7.293225e-08
19.51424503326416,-149.9791,-2.451882e-05
19.772670030593872,-150.0024,-7.833602e-08
20.699517726898193,-154.9747,-2.431441e-05
20.87686562538147,-159.9713,-2.098305e-05
21.139636039733887,-159.9945,-7.2513e-08
21.389840841293335,-164.9669,-2.40862e-05
21.647283792495728,-164.9923,-8.276998e-08
21.897526264190674,-169.966,-2.399982e-05
22.802919387817383,-169.99,-3.436209e-08
23.05294418334961,-174.9807,-2.385826e-05
23.31061863899231,-175.0062,-6.857434e-08
23.55986475944519,-179.9763,-2.372754e-05
23.8125958442688,-180.0015,-6.485203e-08
24.700894117355347,-184.9727,-2.368589e-05
24.87905788421631,-189.9673,-2.034724e-05
25.137866973876953,-189.991,-6.28534e-08
25.387866735458374,-194.9643,-2.342427e-05
25.645867109298706,-194.9882,-7.3357e-08
25.89586615562439,-199.9805,-2.342834e-05
26.874863386154175,-200.0024,-3.499585e-08
27.124863386154175,-204.9783,-2.315016e-05
27.3820903301239,-205.0009,-6.304693e-08
27.642284631729126,-209.9753,-2.314589e-05
27.819944620132446,-214.9714,-1.979627e-05
28.76293659210205,-214.9938,-7.191912e-08
29.01542329788208,-219.9681,-2.279494e-05
29.27344274520874,-219.9909,-5.217944e-08
29.523911237716675,-224.981,-2.288932e-05
29.781643629074097,-225.004,-6.149054e-08
30.684322357177734,-229.9743,-2.266528e-05
30.86172580718994,-234.9671,-1.919289e-05
31.12186551094055,-234.9922,-4.4745e-08
31.37186598777771,-239.9615,-2.25086e-05
31.630187034606934,-239.9851,-4.486081e-08
31.880414247512817,-244.9777,-2.253158e-05
32.8357572555542,-244.9991,-2.44145e-08
