Num,Voltage,Ileak[nA],CCE[a.u.],CCE2[a.u.],MPV[mV],Noise[mV],Error mu,Error mean
0,-700.0,-0.000104985,3022.0762836404247,3022.0762836404247,801.9698492462312,0.8355853606089099,0.9070707869450914,0.9070707869450914
1,-600.0,4.607852e-08,3023.8220971524293,3023.8220971524293,780.7839195979899,0.8503932731883371,0.9062798937478753,0.9062798937478753
2,-500.0,0.0001049611,3035.5111557788955,3035.5111557788955,756.1005025125628,0.873706723789429,0.7845298583761688,0.7845298583761688
3,-400.0,5.53459e-08,3062.448116136237,3062.448116136237,721.9698492462312,0.9339629484709223,0.9461698143942722,0.9461698143942722
