"Time","Temperature"
2025-05-01 01:00:00,20.4 °C
2025-05-01 07:00:00,20.5 °C
2025-05-01 13:00:00,20.9 °C
2025-05-01 19:00:00,20.8 °C
2025-05-02 01:00:00,20.4 °C
2025-05-02 07:00:00,20.5 °C
2025-05-02 13:00:00,21.3 °C
2025-05-02 19:00:00,20.8 °C
2025-05-03 01:00:00,20.6 °C
2025-05-03 07:00:00,20.4 °C
2025-05-03 13:00:00,20.6 °C
2025-05-03 19:00:00,20.4 °C
2025-05-04 01:00:00,20.3 °C
2025-05-04 07:00:00,20.3 °C
2025-05-04 13:00:00,20.5 °C
2025-05-04 19:00:00,20.1 °C
2025-05-05 01:00:00,19.9 °C
2025-05-05 07:00:00,19.7 °C
2025-05-05 13:00:00,19.7 °C
2025-05-05 19:00:00,19.7 °C
2025-05-06 01:00:00,19.7 °C
2025-05-06 07:00:00,19.7 °C
2025-05-06 13:00:00,19.9 °C
2025-05-06 19:00:00,19.5 °C
2025-05-07 01:00:00,19.6 °C
2025-05-07 07:00:00,19.9 °C
2025-05-07 13:00:00,19.8 °C
2025-05-07 19:00:00,19.6 °C
2025-05-08 01:00:00,19.6 °C
2025-05-08 07:00:00,20.0 °C
2025-05-08 13:00:00,20.5 °C
2025-05-08 19:00:00,19.9 °C
2025-05-09 01:00:00,19.8 °C
2025-05-09 07:00:00,20.3 °C
2025-05-09 13:00:00,20.6 °C
2025-05-09 19:00:00,20.1 °C
2025-05-10 01:00:00,19.9 °C
2025-05-10 07:00:00,20.0 °C
2025-05-10 13:00:00,20.4 °C
2025-05-10 19:00:00,20.2 °C
2025-05-11 01:00:00,20.0 °C
2025-05-11 07:00:00,20.1 °C
2025-05-11 13:00:00,20.5 °C
2025-05-11 19:00:00,20.2 °C
2025-05-12 01:00:00,20.0 °C
2025-05-12 07:00:00,20.2 °C
2025-05-12 13:00:00,20.1 °C
2025-05-12 19:00:00,19.9 °C
2025-05-13 01:00:00,19.6 °C
2025-05-13 07:00:00,20.0 °C
