campaign,sensor_id,annealing_time,sat_V_CV,sat_V_err_down_CV,sat_V_err_up_CV,low_fit_start_CV,low_fit_stop_CV,high_fit_start_CV,high_fit_stop_CV,sat_V_TCT,sat_V_err_down_TCT,sat_V_err_up_TCT,low_fit_start_TCT,low_fit_stop_TCT,high_fit_start_TCT,high_fit_stop_TCT
DoubleIrrNeutron2025,100264_LL1,noadd,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,100264_LL2,noadd,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,100264_LR,noadd,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,100264_UL,noadd,810.0,22.0,27.0,556.0,657.0,0.0,0.0,0.0,37.0,37.0,0.0,0.0,0.0,0.0
DoubleIrrNeutron2025,100264_UL,6days,503.0,13.0,15.0,318.0,437.0,783.0,915.0,602.0,30.0,30.0,280.0,535.0,790.0,919.0
DoubleIrrNeutron2025,100264_UL,13days,427.0,8.0,8.0,256.0,367.0,778.0,905.0,494.0,25.0,25.0,189.0,441.0,685.0,919.0
DoubleIrrNeutron2025,100264_UL,19days,415.0,6.0,7.0,259.0,347.0,778.0,905.0,491.0,25.0,25.0,189.0,441.0,586.0,810.0
DoubleIrrNeutron2025,100264_UR1,noadd,853.0,27.0,30.0,620.0,736.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0
DoubleIrrNeutron2025,100264_UR1,270min,610.0,14.0,21.0,391.0,530.0,828.0,905.0,677.0,34.0,34.0,256.0,523.0,762.0,911.0
DoubleIrrNeutron2025,100264_UR1,680min,492.0,12.0,16.0,288.0,437.0,709.0,899.0,600.0,30.0,30.0,256.0,523.0,690.0,911.0
DoubleIrrNeutron2025,100264_UR1,1100min,445.0,22.0,25.0,267.0,407.0,709.0,899.0,539.0,27.0,27.0,175.0,447.0,690.0,821.0
DoubleIrrNeutron2025,100264_UR2,noadd,811.0,22.0,32.0,513.0,687.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0
DoubleIrrNeutron2025,100264_UR2,30min,568.0,10.0,13.0,363.0,488.0,796.0,905.0,635.0,32.0,32.0,264.0,511.0,677.0,911.0
DoubleIrrNeutron2025,100264_UR2,54min,482.0,9.0,9.0,311.0,412.0,691.0,899.0,579.0,29.0,29.0,264.0,511.0,677.0,809.0
DoubleIrrNeutron2025,100264_UR2,80min,449.0,8.0,10.0,264.0,388.0,691.0,899.0,576.0,29.0,29.0,264.0,511.0,677.0,916.0
DoubleIrrNeutron2025,107954_LL1,noadd,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0
DoubleIrrNeutron2025,107954_LL1,30min,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0
DoubleIrrNeutron2025,107954_LL1,54min,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0
DoubleIrrNeutron2025,107954_LL1,80min,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0
DoubleIrrNeutron2025,107954_LR,noadd,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,107954_UL,noadd,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0
DoubleIrrNeutron2025,107954_UL,6days,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0
DoubleIrrNeutron2025,107954_UL,13days,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0
DoubleIrrNeutron2025,107954_UL,19days,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0
DoubleIrrNeutron2025,107954_UR1,noadd,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0
DoubleIrrNeutron2025,107954_UR1,270min,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0
DoubleIrrNeutron2025,107954_UR1,680min,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0
DoubleIrrNeutron2025,107954_UR1,1100min,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0
DoubleIrrNeutron2025,200181_LL1,noadd,639.0,21.0,27.0,387.0,538.0,0.0,0.0,751.0,38.0,38.0,474.0,623.0,787.0,913.0
DoubleIrrNeutron2025,200181_LL1,6days,420.0,16.0,17.0,262.0,385.0,593.0,894.0,532.0,27.0,27.0,227.0,466.0,667.0,913.0
DoubleIrrNeutron2025,200181_LL1,13days,345.0,9.0,8.0,216.0,314.0,593.0,894.0,511.0,26.0,26.0,227.0,422.0,667.0,913.0
DoubleIrrNeutron2025,200181_LL1,19days,345.0,11.0,9.0,216.0,314.0,593.0,894.0,477.0,24.0,24.0,161.0,422.0,568.0,719.0
DoubleIrrNeutron2025,200181_LL2,noadd,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,200181_LR,noadd,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
DoubleIrrNeutron2025,200181_UR1,noadd,525.0,11.0,13.0,339.0,461.0,761.0,899.0,625.0,31.0,31.0,281.0,480.0,675.0,906.0
DoubleIrrNeutron2025,200181_UR1,270min,403.0,8.0,10.0,237.0,362.0,685.0,899.0,532.0,27.0,27.0,178.0,423.0,675.0,816.0
DoubleIrrNeutron2025,200181_UR1,680min,332.0,10.0,12.0,191.0,314.0,635.0,899.0,471.0,24.0,24.0,178.0,423.0,675.0,816.0
DoubleIrrNeutron2025,200181_UR1,1100min,306.0,11.0,9.0,185.0,289.0,635.0,899.0,447.0,22.0,22.0,178.0,423.0,584.0,816.0
DoubleIrrNeutron2025,200181_UR2,noadd,537.0,7.0,9.0,335.0,461.0,760.0,899.0,641.0,32.0,32.0,316.0,528.0,732.0,910.0
DoubleIrrNeutron2025,200181_UR2,30min,367.0,11.0,10.0,236.0,337.0,634.0,899.0,478.0,24.0,24.0,140.0,410.0,571.0,721.0
DoubleIrrNeutron2025,200181_UR2,54min,339.0,10.0,8.0,215.0,313.0,634.0,899.0,458.0,23.0,23.0,140.0,410.0,571.0,721.0
DoubleIrrNeutron2025,200181_UR2,80min,318.0,10.0,10.0,211.0,289.0,634.0,899.0,409.0,20.0,20.0,140.0,333.0,571.0,721.0
DoubleIrrNeutron2025,200206_LL1,noadd,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
